comment_id,video_id,author,text,like_count,published_at,reply_count
UgwNyt79EpAJ_lXK4454AaABAg,3vjCNWCAUys,@ayw91,좋다,0,2025-09-03 04:55:42+00:00,0
UgxaPiX9oWqVEcyZIAt4AaABAg,3vjCNWCAUys,@김인콤,난 현아내가 좋은딩..??,0,2025-09-02 15:41:56+00:00,0
Ugz8FYBGNuofT9XBgId4AaABAg,3vjCNWCAUys,@user-RedTiger_Rapi,이쁘당,0,2025-09-02 13:05:09+00:00,0
UgxROA0hm9_3x7udf8R4AaABAg,3vjCNWCAUys,@레옹-c7t,왜 난 현재가 더 좋냐 ㅈ된건가ㅋㅋㅋ,0,2025-09-02 07:06:40+00:00,0
UgwNMPrWFRkTrLjDeg54AaABAg,3vjCNWCAUys,@0o926,누구나 티셔츠 속에 수박 하나씩은 품고 살자나~ 한잔해~,0,2025-09-02 06:02:02+00:00,0
UgzYQ2CjRyR8s_lI7-h4AaABAg,3vjCNWCAUys,@정진무희탁,b,0,2025-09-02 04:30:23+00:00,0
UgwimouGTYF6M_5hIvl4AaABAg,3vjCNWCAUys,@7비트,유부녀야?,0,2025-09-01 23:36:00+00:00,0
Ugx3XSug_69v56nsWRl4AaABAg,3vjCNWCAUys,@linawrd,근데 금휘 목소리가ㅜ넘 이뻐,0,2025-09-01 21:23:44+00:00,0
UgzJ0aptnke2kUtU8X14AaABAg,3vjCNWCAUys,@로디우디,금휘 미래남편 넌 지금 아내랑 사는것도 ㅈㄴ 감사해해라...,0,2025-09-01 12:53:26+00:00,0
Ugw5mnTlj6BRXDyzonJ4AaABAg,3vjCNWCAUys,@머를볼까-d5,껄껄껄껄 할때가 개웃기네,0,2025-09-01 12:50:09+00:00,0
UgyQdVqzJI4yX8NmqOl4AaABAg,3vjCNWCAUys,@seonbi9258,"이거 진짜에오...?
같으면서 다른 쌍둥이 자매같은데,,,",0,2025-09-01 09:42:11+00:00,0
Ugz24oZKtW_5iyO_Out4AaABAg,3vjCNWCAUys,@oma_gasayou,잠깐 뭐가 다른 거야?ㅋㅋㅋㅋ,0,2025-09-01 09:17:17+00:00,0
UgzGaBGW-z576wRhGbt4AaABAg,3vjCNWCAUys,@삼돌이-u2v,애는 착혀...,0,2025-09-01 07:21:32+00:00,0
UgwlUuXkdsNQJElQ37B4AaABAg,3vjCNWCAUys,@커피멋진남SY,"현 아내-미X야랄녀
전 여친-조신한 내 여자❤",0,2025-08-31 20:31:43+00:00,0
UgwdhdmjvYi5Vv_v07B4AaABAg,3vjCNWCAUys,@Fajip,처음에 뱃살 잡는건 진짜 충격...,0,2025-08-31 20:23:46+00:00,0
UgxBqHpQ0QdfXKSvf-t4AaABAg,3vjCNWCAUys,@kangkang-s5r,"나는 왜 아내편이 더 좋지 ㅋㅋㅋㅋㅋ
즇나 귀엽네 ㅋㅋㅋㅋㅋㅋ",0,2025-08-31 12:28:15+00:00,0
UgylNqQVf5PZ-nmN-E94AaABAg,3vjCNWCAUys,@왈레-f4f,현아내가 더 좋은데 난,0,2025-08-31 11:04:56+00:00,0
UgxPtk1I8V9dtyhnX-94AaABAg,3vjCNWCAUys,@잇츠미-r3x,ㅈㄹ 이쁘네..,0,2025-08-31 10:43:35+00:00,0
Ugzon7YZneugs093eWd4AaABAg,3vjCNWCAUys,@일상-i7k,뭐가다르누,0,2025-08-31 09:45:08+00:00,0
UgwxePL1tVh9yKCxjk14AaABAg,3vjCNWCAUys,@임상혁-l6p,사람은 변한다.,0,2025-08-31 07:44:18+00:00,0
Ugx-Bo2Byxp8DezGX7V4AaABAg,3vjCNWCAUys,@Jiwoo-e8r,애초에 이쁜얼굴이 아니구만 ㅋㅋㅋ오바는,0,2025-08-31 05:31:33+00:00,0
Ugy_7FVsokB0X6byB2F4AaABAg,3vjCNWCAUys,@죽여서죄송합니다-o5o,둘다 좋은데?,0,2025-08-31 04:32:21+00:00,0
UgwSjQFVFacmXLFQeQN4AaABAg,3vjCNWCAUys,@교회가다걸린스님-s,귀엽고 털털함 vs 청순 섹?시 의 싸움이군,0,2025-08-31 03:25:54+00:00,0
UgzqE59X52OHys4jKqh4AaABAg,3vjCNWCAUys,@railroad300k2x,현 아내도 괜찮은 것 같은데?......,0,2025-08-30 21:53:27+00:00,0
Ugw2GDfeK6vtzNi9riZ4AaABAg,3vjCNWCAUys,@sangbeomlee3308,결혼하고리밋해제?!?!?,0,2025-08-30 18:46:05+00:00,0
Ugy7pw6UTfle9xTIf7R4AaABAg,3vjCNWCAUys,@TheDaethelf,매력있다❤,0,2025-08-30 17:11:55+00:00,0
Ugz6dPJ7TEK67VnZPYt4AaABAg,3vjCNWCAUys,@정병희-e5b,여우 댄스는 진짜다,0,2025-08-30 16:24:48+00:00,0
Ugzk1FbhgKlr6CuAeql4AaABAg,3vjCNWCAUys,@이우승-o2e,동그란 선글라서 핵귀엽다,0,2025-08-30 14:58:09+00:00,0
UgxrU--viGk11R-eYs14AaABAg,3vjCNWCAUys,@ifyouare8159,금휘 결혼한 줄 알고 깜짝 놀랐네... 오랜만에 봐서... 그래도 금휘정도면 괜찮지 않나요? ㅎㅎ,0,2025-08-30 13:56:32+00:00,0
UgwD90rAuZOBBAydCK14AaABAg,3vjCNWCAUys,@짱아공주-b2n,뭐라하지마 뭐라하지마 ㅋㅋㅋ,0,2025-08-30 10:44:01+00:00,0
UgxivopXMf1NaFfA2Fd4AaABAg,3vjCNWCAUys,@정용진-l6t,전 과 후  전부 ... 또.. 같은 .. 디요....... 아이는 착한디 와 그러는 디요 ㅠㅠ,0,2025-08-30 08:36:40+00:00,0
UgwLc-DzZVKO8g4E4214AaABAg,3vjCNWCAUys,@vkzm85,뭐가 다른 가요?,0,2025-08-30 08:00:09+00:00,0
UgyxBf3NDT9sKrtR5Fx4AaABAg,3vjCNWCAUys,@qwertyuiop-f6g,직업이머야,0,2025-08-30 07:38:52+00:00,0
Ugz03RnsmV4wxfMGCgR4AaABAg,3vjCNWCAUys,@skull5216,와 씹 골반,0,2025-08-30 04:45:34+00:00,0
UgyZUQvT3_Lph22zEu94AaABAg,3vjCNWCAUys,@키메-t9o,ㅈㄴ이쁜데?,0,2025-08-30 03:54:45+00:00,0
Ugw3qhxWM_zHARLFd214AaABAg,3vjCNWCAUys,@톈,ㅗㅜㅑ,0,2025-08-30 03:51:54+00:00,0
UgxOyUuYHACjsansMdl4AaABAg,3vjCNWCAUys,@클락와이즈,가만히멀뚱멀뚱있고 귀척하는 것보다 인간적인 무브먼트를보여주는게 훨신 인간적싱,0,2025-08-30 01:24:08+00:00,0
UgyTFyMiOmshr7eCEGF4AaABAg,3vjCNWCAUys,@아아-c,변했어,0,2025-08-29 21:47:01+00:00,0
UgyXY_fGs1orXJbI2kh4AaABAg,3vjCNWCAUys,@비솔라,아이구야 금쪽이,0,2025-08-29 20:16:28+00:00,0
UgzYEsmOZbwE7zjXpS54AaABAg,3vjCNWCAUys,@hyugi123,현 내 여친,0,2025-08-29 18:05:51+00:00,0
UgwTb7FdEQmJowcEbAl4AaABAg,3vjCNWCAUys,@수순-h5k,그냩 존예인건 기만 아닌가? ㅋㅋㅋㅋㅋ,0,2025-08-29 15:39:20+00:00,0
Ugy0CNnF10nnJyf7TyB4AaABAg,3vjCNWCAUys,@plucky0258,플레임 왈 : 실제로보면 모델같이 생겼다,0,2025-08-29 15:09:59+00:00,0
Ugwae4FpgDrnRqqrUCV4AaABAg,3vjCNWCAUys,@PlzYp202,중간에 선글라스 뭐야 진짜,0,2025-08-29 14:26:05+00:00,0
UgwpWg64qlqJ79KlBS94AaABAg,3vjCNWCAUys,@비트고인-b6n,실례지만.. 진지하게 물어볼게요.. 4050 오빠야는 어때요..?? 만나 볼래요..??우린 한마음 한뜻 2030 훌륭한 여성분들 같은 정치를 하잖아요.. 여성분 댓글이나 쪽지주세요..,1,2025-08-29 14:06:30+00:00,0
UgxvVpLXD1rDMrKhImZ4AaABAg,3vjCNWCAUys,@dukgunkim4921,ㅋㅋㅋ,0,2025-08-29 13:36:50+00:00,0
UgysFlbXLXnBOPET7OV4AaABAg,3vjCNWCAUys,@Panda-np6pk,어쩌다...,1,2025-08-29 12:25:31+00:00,0
