comment_id,video_id,author,text,like_count,published_at,reply_count
UgwBmTNk-NoQjM5NLjR4AaABAg,9_PjMF1MN34,@taejundiv,당신 그얼굴로 양심없게 그렇게 말할거야?,0,2025-09-02 15:18:15+00:00,0
Ugy4F74ZlTt9vDDApxd4AaABAg,9_PjMF1MN34,@KAOS4ful,하... 금사장 사람 화나게하네?,0,2025-08-26 11:38:49+00:00,0
UgxgMjoXrRl6Nv-dyld4AaABAg,9_PjMF1MN34,@user-yj5kj8pp9b,공감이요....? 진짜로요...?,0,2025-08-25 06:32:01+00:00,0
Ugy3JzSkn-aiczHdcJt4AaABAg,9_PjMF1MN34,@papercompany324,저걸 이쁜사람이 말하는거?,1,2025-08-25 02:11:54+00:00,0
UgwafTUu1f33vxaIjRt4AaABAg,9_PjMF1MN34,@dakeanjel,있는 사람이 더하다..,0,2025-08-22 15:01:50+00:00,0
UgymZMxLPTuj5w1QcwF4AaABAg,9_PjMF1MN34,@포에버012,"저거 그냥 사진을 안 찍으면 해결 되더라
한 10년 정도 사진 안 찍으면 내가 비대칭인지 아닌지도 모름",0,2025-08-21 06:46:26+00:00,0
UgwV2To4F2-6bY0evB54AaABAg,9_PjMF1MN34,@user-za5dx8re3a,귀여워요 ㅋㅋㅋ,0,2025-08-21 06:15:01+00:00,0
Ugwp4DPZw_ernQmDubF4AaABAg,9_PjMF1MN34,@Hodu11811,"비대칭 심해서 고민이었는데
내가 보는 나는 거울로보는게 익숙해서 제삼자의 눈이나 사진으로 볼때 비대칭 부각되어보이는게 당연하다고 생각하니 편해졌어요
다른사람들은 그냥 마주보는거에 익숙하니깐 그냥 슥 보면 어차피 잘 모르더라고요, 자세히 보면 알아채기는 하지만",0,2025-08-21 03:48:31+00:00,0
UgyXnVALAlTKUYa-ViZ4AaABAg,9_PjMF1MN34,@Enter_H,ㅠㅅㅠ,0,2025-08-20 14:48:39+00:00,0
UgyLKQE8UGMZ4KK3ghB4AaABAg,9_PjMF1MN34,@kaziquarigoatzubokum1004,엔프피 모먼트 ㅋㅋㅋㅋ 깨발랄해서 웃음나옴,0,2025-08-20 12:08:34+00:00,0
UgxJn9Q8UH7bEQtxzWt4AaABAg,9_PjMF1MN34,@포콩,박살의 끝판왕 갔다감...,0,2025-08-20 02:56:09+00:00,0
UgwYbcyIOa7s9WAFoCd4AaABAg,9_PjMF1MN34,@Marunare,"금휘 얼굴이 비대칭이라고?
....할말하않;;;;",0,2025-08-20 01:42:32+00:00,0
