comment_id,video_id,author,text,like_count,published_at,reply_count
UgyivbhPuQRDTcDizGF4AaABAg,Bj-P9k2RLnE,@BATMASK,"뭐 16,000원? 아니... ...아니 엄청 싸잖아? ㅋㅋㅋㅋㅋ",0,2025-09-03 01:37:22+00:00,0
UgyN-ke2sFhca8O7nUt4AaABAg,Bj-P9k2RLnE,@ssslll-e7o,ㅋㅋㅋㅋㅋ 호구네,0,2025-09-02 10:57:21+00:00,0
UgzGuzzGay3tjSHqb-V4AaABAg,Bj-P9k2RLnE,@heartafire82,"인도 출장와서 2만원 넘는 한식도시락 배달시켜 먹는데
개맛있습니다

참고로 식당에서 회사까지 편도 4시간입니다...",0,2025-08-31 05:33:26+00:00,0
Ugw0bmYuI2maXM3LxP94AaABAg,Bj-P9k2RLnE,@Liar-r3w,"호주에 살고 있는데 체감상 한국 본토에서 먹는거보다 2배는 더 내는거 같아요(시드니에 산다는 전제하에), 지금 있는덴 2.5배 느낌이고요😅😅😅😅😅",0,2025-08-31 00:25:12+00:00,0
UgxqahZ4N9fQuaRTmkp4AaABAg,Bj-P9k2RLnE,@wow.678,저정도면 사장님이 고향 생각 해라고 음식 무료로 배송 하는 수준이네 ㅋㅋㅋ,2,2025-08-30 15:39:35+00:00,0
Ugz4DnkLUgucXDI0xjl4AaABAg,Bj-P9k2RLnE,@MexInCore,까는건가했네ㅋㅋㅋㅋ,0,2025-08-30 09:59:15+00:00,0
Ugwuqn2AHU38JaAQ9NV4AaABAg,Bj-P9k2RLnE,@심심0,음........ 난 불호,0,2025-08-30 09:09:09+00:00,0
UgyuG48GlkvjAkN3yX14AaABAg,Bj-P9k2RLnE,@2010videorama,처음부터 가격에 전혀 놀라지 않은게 너무 익숙한 가격이다,1,2025-08-30 05:36:27+00:00,0
Ugyw3tXJOeDShMhvO6B4AaABAg,Bj-P9k2RLnE,@빛이나는폴로,냉면이 16000원이면 한국보다 비싸네 ㄷㄷ,0,2025-08-30 01:52:29+00:00,0
UgzkwgvLcFu24vGVq8t4AaABAg,Bj-P9k2RLnE,@이진우-p5y,서아프리카랑 배민이랑 얼마차이안나는게 실화냐,0,2025-08-29 22:39:08+00:00,0
Ugy47_VVYGRqpe7NVoF4AaABAg,Bj-P9k2RLnE,@bes4377,서아프리카라서 더 비쌀 이유가? 굳이...라는 생각은 나뿐인가?,0,2025-08-29 20:00:40+00:00,0
UgwxZf4tnNYZrKFO3gN4AaABAg,Bj-P9k2RLnE,@존시나-z9l,"냉면사리 육수 따로주문해라 훈수둘랬는데 
아프리카 ㄷㄷ하네 ㅋㅋㅋㅋㅋㅋ",0,2025-08-29 18:37:30+00:00,0
Ugz63hVnX7vtbn-8ESJ4AaABAg,Bj-P9k2RLnE,@myunhhoonlim29,어그로 잘끄네,0,2025-08-29 16:20:53+00:00,0
Ugxg-2NDV3_muobq7LN4AaABAg,Bj-P9k2RLnE,@dnej9498,사실 개창렬임 서아프리카 한식당은 보통 저보다 저렴함 저기는 있어야 할 한식당 위치가 아닌데 있어서 적게팔고 많이 남기는 방식인거지 보통은 국내하고 비슷한 수준임,0,2025-08-29 15:52:40+00:00,0
UgyjujRoGYMhdcy_2Vh4AaABAg,Bj-P9k2RLnE,@당근짱-NO.1,배달값은 얼만데!!,0,2025-08-29 12:53:54+00:00,0
Ugw5GIpo7NakM2-NfOJ4AaABAg,Bj-P9k2RLnE,@The_FInal_Boss_Veigar,우리가 어떤 민족입니까? 그래서 번호가 어찌되나요?,0,2025-08-29 12:43:10+00:00,0
UgzCbnFO_aZ-j32qXL14AaABAg,Bj-P9k2RLnE,@혁둘기,??? : 아싸 호구하나 걸렸다,0,2025-08-29 12:06:06+00:00,0
Ugx04L83KorSLpzwuYB4AaABAg,Bj-P9k2RLnE,@글구-z8u,저게 당연하다는 듯한 어투길래 강남인가 했더니 서아프리카네...,0,2025-08-29 11:39:22+00:00,0
UgxwUt19nmNVs-1mLPN4AaABAg,Bj-P9k2RLnE,@cherry_tree9065,어디 쓰레기를 돈받고 처분하냐,0,2025-08-29 11:35:38+00:00,0
Ugw6cxV20CZynzNTeRx4AaABAg,Bj-P9k2RLnE,@change_bing,와 싸다,0,2025-08-29 11:31:35+00:00,0
Ugx_OaalheXqUycmyc54AaABAg,Bj-P9k2RLnE,@ggyu6968,한국사는 태국인들도 비숫하게 자기들끼리 라인으로 태국음식 배달로 팜 불법이긴한데 자기들 메뉴 사면 자기들끼리 배달함 근데 비쌈 저런느낌임,0,2025-08-29 10:27:26+00:00,0
Ugx7fmPgw9-HfdaOhwV4AaABAg,Bj-P9k2RLnE,@Dora_Dinosaur,"저 사람에게 현지 음식사먹지 왜 한식비싸게 먹냐고 물어보니
먹을만한 현지음식 가격이나 저거나 비슷하다고 함",0,2025-08-29 08:09:25+00:00,0
UgynPzuOTRSxQfRlwgF4AaABAg,Bj-P9k2RLnE,@카이쥬우,서아프리카에도 한국인이 있구나,0,2025-08-29 06:58:50+00:00,0
UgwQgfCpE81ifr38rTR4AaABAg,Bj-P9k2RLnE,@고양이가좋아-u2u,서아프리카면 개싼거지 ㅋㅋㅋㅋㅋ,0,2025-08-29 06:26:11+00:00,0
UgyyHqL-F2L3ttnrqjJ4AaABAg,Bj-P9k2RLnE,@Fried_Apple,"소...솔직히 16000원에 저정도면 평균적인 양이라고 생각해요....
적어도 우리동네보단 많이 주네요",0,2025-08-29 05:49:46+00:00,0
UgxxdqRZMNw5ZDGSlqh4AaABAg,Bj-P9k2RLnE,@앤디수,"냉면은 절대 포장, 배달 안함. 마트에서 면, 육수 사고 오이, 무 고명 사서 먹음...더 맛있음",0,2025-08-29 05:05:50+00:00,1
Ugwf51H1mIOrf0UfQn94AaABAg,Bj-P9k2RLnE,@catpetpark,저런대선 마늘 향만 들어갔어도...부모님 생각날 듯,1,2025-08-29 03:48:58+00:00,0
Ugx2kiieXPW__j0DfY54AaABAg,Bj-P9k2RLnE,@kr_madclown,술집인가 했네,0,2025-08-29 02:59:44+00:00,0
UgwAshnEZ3WecfX7eSB4AaABAg,Bj-P9k2RLnE,@고양이아빠-k4u,서아프리카에서 저정도면  앵간한  한국 가게보다 낫다.,1,2025-08-29 02:12:54+00:00,0
UgwjMCL_fUPXx2-0HOt4AaABAg,Bj-P9k2RLnE,@서고니-f9i,냉면 진짜 육수 제대로 뽑는집도 없고 다 사서하는곳이 태반인데 가격 진짜 ㅡㅡ 얼척없음,0,2025-08-29 01:26:34+00:00,0
UgwOUqLSEThShwNHnW54AaABAg,Bj-P9k2RLnE,@만두아빠-w6c,한국도 저 가격인데 속일것도 없는건데,0,2025-08-28 19:24:11+00:00,0
Ugzig346t-6J0hnjHah4AaABAg,Bj-P9k2RLnE,@dksghkddml_dmsgP,서아프리카면 30000원이어도 감사합니다 하면서 먹지 ㅇㅇ,0,2025-08-28 18:07:00+00:00,0
Ugyr2EKymHx53DplUZd4AaABAg,Bj-P9k2RLnE,@나비c,어쩐지 끝자리가 백원단위로 지저분하게 떨어지더라니 ㅋㅋㅋㅋ,0,2025-08-28 17:47:03+00:00,0
UgyCSUx3EunmVKX6Iyd4AaABAg,Bj-P9k2RLnE,@가끔정상인,야 아프리카면 돈있다고 어디서 막 구하지도 못할텐데 만육천원밖에 안하네 ㅋㅋㅋㅋㅋ,0,2025-08-28 16:52:47+00:00,0
