comment_id,video_id,author,text,like_count,published_at,reply_count
UgwMSJxuMEBf_a09Aqp4AaABAg,Bu91Dkh3w9g,@구랏천하,외강내광,0,2025-08-31 15:13:05+00:00,0
Ugz_lDbR6Co2vjXywJR4AaABAg,Bu91Dkh3w9g,@심민서-c2j,아주 틀린말은 아니긴해 얘가 몸매도 어느정도도 되고 얘도 착하긴해...어..그래 얘는 착해...,0,2025-08-26 15:35:32+00:00,0
Ugx1v2NGsuHjdttWW3d4AaABAg,Bu91Dkh3w9g,@희생자-r9f,진짜 모델 몸매긴함,0,2025-08-25 12:15:54+00:00,0
UgxHnU_6Gr1wjG1N_MB4AaABAg,Bu91Dkh3w9g,@하루네시간,아... 아 아 네,0,2025-08-17 13:08:29+00:00,0
UgzTkEGRvNpn5lHwRY14AaABAg,Bu91Dkh3w9g,@sjadh1243,골반 ㄷㄷ,0,2025-08-17 04:30:46+00:00,0
UgwgJ9M2Fm1rkE5GkRh4AaABAg,Bu91Dkh3w9g,@땅땅아사랑해,진짜 뇌에 뭐만 들었는데 에휴,0,2025-08-17 02:39:29+00:00,0
UgxWoxI291YgxYzzSeZ4AaABAg,Bu91Dkh3w9g,@crownbear,하드웨어는 완벽하지 소프트웨어에 악성코드걸린것만 빼면,0,2025-08-16 17:53:40+00:00,0
Ugyg7U5RyWvJbBwsz3t4AaABAg,Bu91Dkh3w9g,@Dancer_HW,몸매 개이쁘긴해 한잔해,0,2025-08-14 00:11:25+00:00,0
UgxJStcT_Qs_KayhTsB4AaABAg,Bu91Dkh3w9g,@참치기름,플레임 메일 많이 받았겠는데?,0,2025-08-13 12:46:59+00:00,0
UgwfYhkQVMKBGaef1yl4AaABAg,Bu91Dkh3w9g,@ysmin159,"애는..
착..
아휴..",0,2025-08-12 08:31:55+00:00,0
UgzCfGUYIbvtAUIMZS14AaABAg,Bu91Dkh3w9g,@Music.5kk3zp4k,그려?,0,2025-08-09 15:16:00+00:00,0
UgzrFYFuihz3Sxj1d-B4AaABAg,Bu91Dkh3w9g,@Giyu_Tomioka_XRD,목소리마저 좋음..,0,2025-08-08 23:01:50+00:00,0
UgzsfWTsCB3u7Tg7wK54AaABAg,Bu91Dkh3w9g,@정승민-v6j,맛나겠노,0,2025-08-08 21:43:08+00:00,0
UgxVAKa4_1BXuSJsnJh4AaABAg,Bu91Dkh3w9g,@소보로빵-f5t,"이분이 스트리머 ""입만안열면"" 인가요",2,2025-08-08 12:24:23+00:00,0
