comment_id,video_id,author,text,like_count,published_at,reply_count
UgyG7pEmIRkJMu797R54AaABAg,Cs_3BgTpKQc,@moong-yong,금휘는 흑발이 제일 나은데,0,2025-09-03 08:22:01+00:00,0
UgyULnk4WQFnVNnSOfN4AaABAg,Cs_3BgTpKQc,@비구름-q2l,가운데요,0,2025-09-03 04:14:18+00:00,0
Ugzswfj2hBP0LVNKjOB4AaABAg,Cs_3BgTpKQc,@이선우-m5i,"아 왜 이쁘지???? 
그냥 이쁘시네요 
솔로 생활12년차라 그런가 미쳤나보다 ㅋ",0,2025-09-02 13:09:02+00:00,0
UgxT3wZfbVQQ2G0viid4AaABAg,Cs_3BgTpKQc,@보자보자-s6e,허걱 이게 드디어.... 생방 다시보기 귀찮아서 이악물고 이 방송에 존재를 잊고 있었는데... 이걸로 만족 할게욥,0,2025-09-02 09:26:02+00:00,0
UgypBu_IIUUrJR4JPct4AaABAg,Cs_3BgTpKQc,@nurik.9035,빨강도 앞머리만 넘기면 이쁜데..? 핑크도 완전 복숭아 화장하고 쓰면 찰떡일듯!,0,2025-09-01 16:45:53+00:00,0
UgxU8Xzf3LXG2ZsI-5V4AaABAg,Cs_3BgTpKQc,@BoneChew10,어머머 이쁘자나😮,0,2025-09-01 13:56:00+00:00,0
UgysNwRHc_mQHwc8YF14AaABAg,Cs_3BgTpKQc,@과제-x5r,그냥 본인머리가이쁘다,0,2025-09-01 11:38:12+00:00,0
UgzSvIAWuYpo-ZJq0DJ4AaABAg,Cs_3BgTpKQc,@ReFree-JO,다 이쁨 ㅇㅇ,0,2025-09-01 09:28:46+00:00,0
UgxDJBBSggOFlqlgzAJ4AaABAg,Cs_3BgTpKQc,@그루-l4z,진짜 개이쁘다...,0,2025-09-01 01:50:57+00:00,0
Ugwlqk7mFpf0BhG8lF14AaABAg,Cs_3BgTpKQc,@콩사탕-l8u,자... 다음은 테무산 스타킹으로...,2,2025-08-31 06:34:50+00:00,0
UgxSo3vXXQK4hvByTyl4AaABAg,Cs_3BgTpKQc,@user-bg4hb2bj2m,저도 써보고 싶은 안경 테무에서 사서 코디용으로 써봄,0,2025-08-31 04:29:17+00:00,0
UgwukvlVMhRwAfpXNjF4AaABAg,Cs_3BgTpKQc,@dndksdndndm,동탄미시같다,0,2025-08-31 02:33:45+00:00,0
Ugz2g2Dq8MyZ7CmtuSJ4AaABAg,Cs_3BgTpKQc,@나는JM,1번 가발에 썬그라스 끼면 이제훈님 나온 드라마 연변 도박장 썬그라스  여주인 닯음,0,2025-08-30 18:27:20+00:00,0
