comment_id,video_id,author,text,like_count,published_at,reply_count
UgxgrPKFdcPvLcsh9tt4AaABAg,FypC9fmsbtk,@박하늘-c3g,ㅋㅋㅋㅋ 이분이 하는 커뮤 사이트 어떤건가요? 완전웃긴데,0,2025-08-30 06:52:40+00:00,0
UgzzasKeHT7l7E9p8w14AaABAg,FypC9fmsbtk,@Moon-Jae-Ang,이게왜변태임??,0,2025-08-29 18:52:46+00:00,0
UgyieznmJXpOTDB77Il4AaABAg,FypC9fmsbtk,@수상한가방끈,얼굴도 이쁘시고 몸매도 이쁘시고 목소리도 매력적이야,0,2025-08-29 05:12:58+00:00,0
UgzU02gHFBGgvwKHtzp4AaABAg,FypC9fmsbtk,@fallingbed9,개변태까지만 했는데 개변태새까가 된 건에 대하여,0,2025-08-28 08:28:36+00:00,0
UgzdyvL_G7Mm3CtvBRF4AaABAg,FypC9fmsbtk,@핑크요다,새끼라고는 안했는데.. ㅜ,0,2025-08-27 21:52:33+00:00,0
UgwbwN95Hql2o-AQF3d4AaABAg,FypC9fmsbtk,@순백이와곤도리,포상이구만,0,2025-08-27 14:08:26+00:00,0
UgxgPHKWt0azXDZu5594AaABAg,FypC9fmsbtk,@GrééÑGöbļîn-ÔಓÔ,새끼라고는 안한거 같은데...,0,2025-08-26 13:39:43+00:00,0
UgwMg0fMT-umAzvfEtt4AaABAg,FypC9fmsbtk,@2numberman,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다녀왔습니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이 여자 웃겨😂,0,2025-08-20 05:09:53+00:00,0
UgzBFC-E9m0dN7IIZKt4AaABAg,FypC9fmsbtk,@화엔,모르는사람들은 모르는게 나을듯,0,2025-08-18 06:46:16+00:00,0
UgwbwdbgTtNCI7xQorV4AaABAg,FypC9fmsbtk,@규슈,뭔소리임?,0,2025-08-16 15:47:47+00:00,0
UgxZHM3LMXGXQQMcHvN4AaABAg,FypC9fmsbtk,@mojito-f8k,저 눈빛에 저멘트 포상이잖아~,0,2025-08-16 13:50:11+00:00,0
UgwMmpIJY46aF8Y7duR4AaABAg,FypC9fmsbtk,@qwe-yx2hp,짜잔 나년 입장 ㅎㅎ,0,2025-08-16 08:56:55+00:00,0
UgwwU6EoCAbi7KN-uNB4AaABAg,FypC9fmsbtk,@suelee2208,금사장은 표정이 진짜 맛있음,0,2025-08-16 05:23:28+00:00,0
Ugxc0tjyXLYUYSHpJ_J4AaABAg,FypC9fmsbtk,@Quasi-stellarObject,베트남 가면 이 눈임,1,2025-08-15 19:21:50+00:00,0
UgwIH_ivCx8Dd0kX3y94AaABAg,FypC9fmsbtk,@손진하-y9b,매도 당하는것까지 계획대로 개 변태네,0,2025-08-15 15:43:44+00:00,0
Ugy0kDmdFkXvbKLNHP54AaABAg,FypC9fmsbtk,@도쉬바,ㅈㄴ 설레이네 ㅋㅋㅋㅋ,0,2025-08-15 15:15:28+00:00,0
Ugzl8mK2oLG9HjMLlXd4AaABAg,FypC9fmsbtk,@키노성,프랜즈 재밌지!!!ㅋㅋㅋ😂😂😂,0,2025-08-15 07:55:32+00:00,0
Ugx8Ur3_os-gtDhLg514AaABAg,FypC9fmsbtk,@꾼밍,????  뭔소린지 왜 웃는지도 모르겠네....ㅁㅊㄴㄱㄴ,1,2025-08-15 04:45:20+00:00,0
Ugx1i7ECUzd2r-euoG14AaABAg,FypC9fmsbtk,@냥냥펀치맞고싶다,오히려 좋네,0,2025-08-15 04:37:46+00:00,0
Ugynq0KBtp5VpKVSyG94AaABAg,FypC9fmsbtk,@juyoungpark2366,처음엔 리액션이 좋은줄 알았는데 점점 억지로 한다는 느낌이 드네,0,2025-08-15 04:28:33+00:00,0
Ugx0i_ZgI5ZBoc4z20l4AaABAg,FypC9fmsbtk,@ChoiBbiBbyab,이해가 안됩니다!,0,2025-08-15 03:08:27+00:00,0
Ugy91fDeog0tgo5bGAp4AaABAg,FypC9fmsbtk,@박현우-t5x,좋아요는 왜 눌러주시죠...?,2,2025-08-15 02:44:57+00:00,0
UgyK4iPHbFMEZmTvrDJ4AaABAg,FypC9fmsbtk,@dolee909,깨달았구나.,0,2025-08-14 23:49:48+00:00,0
UgzGoW6NQ9v1gJIFzhN4AaABAg,FypC9fmsbtk,@Chigiri-q3c,슬슬 시험기간인가... 에타가 ㅋㅋㅋ,0,2025-08-14 21:46:12+00:00,0
Ugwf-Lf4WbSXjF7iTv94AaABAg,FypC9fmsbtk,@전정배-l8i,욕이....왜 좋지....,0,2025-08-14 18:35:32+00:00,0
Ugzj7RfzapNdmV0YAyh4AaABAg,FypC9fmsbtk,@seongkang-l1l,개변태라 이거 듣고 또 좋아했을거라 생각되네 ㅋㅋㅋㅋㅋ,0,2025-08-14 17:03:47+00:00,0
UgzpcR8i-FZG-ib4JOp4AaABAg,FypC9fmsbtk,@시리우스-o1f9x,뭔말임?,0,2025-08-14 14:02:59+00:00,0
UgzHYwIdYdfb8-In-Wl4AaABAg,FypC9fmsbtk,@클리브군,금사장 매도.. 나쁘지 않을지도.,0,2025-08-14 13:12:38+00:00,0
UgzAgparfv_Y-Mq5Sy54AaABAg,FypC9fmsbtk,@달콤라떼치킨,와 포상받으셨네,0,2025-08-14 13:08:46+00:00,0
Ugw2OwFubToF9w25GNF4AaABAg,FypC9fmsbtk,@Visuki0116,극찬을!,0,2025-08-14 13:08:01+00:00,0
