comment_id,video_id,author,text,like_count,published_at,reply_count
Ugw_-DCEP-CWiXVRevB4AaABAg,Hre2Q4_UhHE,@정원-g1w9x,이걸 받아주네,0,2025-09-03 10:27:04+00:00,0
Ugw9yKPINhRujWwUsBt4AaABAg,Hre2Q4_UhHE,@Hookhook2,순간 미미미누를 봤어요,0,2025-09-03 02:52:56+00:00,0
UgyS8K6mkBKy_4WgY3t4AaABAg,Hre2Q4_UhHE,@삼돌이-u2v,그걸 하네 ㅋㅋㅋ,0,2025-09-01 07:58:43+00:00,0
UgxHN-njBzwHAl3208h4AaABAg,Hre2Q4_UhHE,@앗싸-b2k,와 눈 뒤집힌거 와🤤😋,2,2025-08-29 13:39:58+00:00,0
UgwNGXPvbDcCP8i7u454AaABAg,Hre2Q4_UhHE,@Gumes,ㅇㅎㄱㅇ?!,2,2025-08-28 09:19:23+00:00,0
UgxcqJC7b56nqXntjbZ4AaABAg,Hre2Q4_UhHE,@마비노기만한다,도네영상이 순간 고장난줄 알았어요😅,0,2025-08-28 00:12:00+00:00,0
UgxBSQkhZBbbIZFr7e54AaABAg,Hre2Q4_UhHE,@djzjsnzja,썸네일 젛다,2,2025-08-27 15:55:20+00:00,0
UgzAmKs_tqHnBXBTvI94AaABAg,Hre2Q4_UhHE,@NaraHaraNe,ㅋㅋㅋㅋㅋ마지막에 허탈한 표정으로 감사합니다~ 하는 게 개귀엽네 ㅋㅋㅋㅋ,0,2025-08-27 15:18:10+00:00,0
UgxaOPCqbI1T0dJecil4AaABAg,Hre2Q4_UhHE,@김루온-g9y,1550원 가성비 죽여주네ㅋㅋ,0,2025-08-27 11:42:02+00:00,0
Ugz6-XFuGGPl29YqRF94AaABAg,Hre2Q4_UhHE,@ROTTe25,퓨파 ㅋㅋㅋ,0,2025-08-26 06:16:14+00:00,0
UgyjZUsdYPHHM6EM8914AaABAg,Hre2Q4_UhHE,@sky_blue45,저거 무슨 영상이에요???,0,2025-08-23 03:40:04+00:00,0
UgxhTnFtLG_dQT9smbZ4AaABAg,Hre2Q4_UhHE,@lichking1066,언더테이커 보는 줄 ㅎㄷㄷ,0,2025-08-20 02:17:15+00:00,0
UgzZmfn3YnzrToGnoc94AaABAg,Hre2Q4_UhHE,@zkvmfl123,읏,0,2025-08-18 10:02:24+00:00,0
UgwdTpoR7-MUK8Nqyyp4AaABAg,Hre2Q4_UhHE,@konnyang-btr,아무렇지 않게 받아주는게 개웃기넼ㅋㅋㅋ,0,2025-08-18 07:03:13+00:00,0
Ugxs82_rgF0gNOdPTxV4AaABAg,Hre2Q4_UhHE,@강한남자-m7r,눈을 깜빡이는걸 자주보지마세요 화장실에 자주가게됩니다🥵,0,2025-08-17 13:56:08+00:00,0
Ugxg3LmoTo1gex2-B-F4AaABAg,Hre2Q4_UhHE,@2HASO-po3,엌 ez2on 음악… 반갑네,0,2025-08-15 17:32:25+00:00,0
UgzWB56ISuG1xKZeooB4AaABAg,Hre2Q4_UhHE,@wonow76,이걸받아치네😂,0,2025-08-14 02:35:31+00:00,0
Ugxr9jmtu7NmHs-bdPl4AaABAg,Hre2Q4_UhHE,@희권문-r8q,너무 착해 금사장은,0,2025-08-13 15:12:14+00:00,0
UgywuzRDSJAU_saN1KJ4AaABAg,Hre2Q4_UhHE,@똥도그123,눈 감았다 뜨는게 얼마나 빠르면 뜬것처럼ㄷㄷ,0,2025-08-13 12:22:22+00:00,0
Ugyd1u6L2z-33pexNp94AaABAg,Hre2Q4_UhHE,@박정열-h8f,눈깜빡이다가 가버렸..,1,2025-08-13 08:06:56+00:00,0
Ugw60z8P5RtktNnGgRN4AaABAg,Hre2Q4_UhHE,@햄쥬르,ㅋㅋㅋㅆㅂ,0,2025-08-12 12:20:59+00:00,0
UgymLLFZJztNB4lq6n94AaABAg,Hre2Q4_UhHE,@와쌉가이즈,오셨어!,0,2025-08-09 23:09:08+00:00,0
UgyPi4s6GUiLQP3RddB4AaABAg,Hre2Q4_UhHE,@hangeulrohagosipda-,눈 뒤집어지는거네ㄷㄷ,1,2025-08-08 20:49:29+00:00,0
UgxkvMfcMCpdHy0BU5F4AaABAg,Hre2Q4_UhHE,@김용진-g8p-i7o,금헤가오 ㄷㄷ,24,2025-08-08 14:45:38+00:00,0
UgwPsY-k0S24HlTMjcJ4AaABAg,Hre2Q4_UhHE,@kimtokan,ㅋㅋㅋㅋㅋㅋ웃음 밖에 안나오네,0,2025-08-02 19:00:43+00:00,0
UgzDCQri0aHaO6EU1od4AaABAg,Hre2Q4_UhHE,@dldldl001,잘쓰겠습니다,38,2025-08-02 07:59:31+00:00,0
