comment_id,video_id,author,text,like_count,published_at,reply_count
UgzYQ1OR3Whp_09wRSJ4AaABAg,Ikxcuhd1TKM,@백인승-n6l,"ㅋㅋ 금휘 리액션이 더 웃기네 
아버님 보고와야지 ㅋ",0,2025-08-28 19:18:11+00:00,0
UgzprJ6krXuypMVwmZB4AaABAg,Ikxcuhd1TKM,@뿎,내맘소리 1ms 로나오네,0,2025-08-20 10:18:29+00:00,0
Ugya4U5HdXOr9iMOHlV4AaABAg,Ikxcuhd1TKM,@Known_university,지난번 보다 못하네요 = 이렇게 맛있어도 저번 반찬이 레전드 였다~  라는거지,8,2025-08-12 06:18:51+00:00,0
UgwJU8NhLhzggzPlErR4AaABAg,Ikxcuhd1TKM,@박굥민-j5k,"사자머리에 초점없는 사각안경 박명수
가발쓴 정준하
한없이 진지한 길이
내 기준 무도 올타임 레전드",0,2025-08-11 19:26:10+00:00,0
UgxvpKhi5p24tM4fPU54AaABAg,Ikxcuhd1TKM,@nenuguge,광수가 런닝맨에서 배신하고 별난리다 피워도 광수는 원래 그런는갑다하는 이해가 생기는 원리가 명수옹부터 시작이라고 보면됨 ㅎㅎ,0,2025-08-11 07:15:29+00:00,0
UgyPMc9zGHgUV0sR7LV4AaABAg,Ikxcuhd1TKM,@D0uble_N,요즘 시대엔 친구들끼리 친하면 저럴 수 있다는데 저 시대땐 친하더라도 지상파에서 저렇게 말 하는게 불가능한데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-08-09 23:54:18+00:00,0
UgzXLHOqRRx2R8-MqK54AaABAg,Ikxcuhd1TKM,@mine695,김치를 싹싹 긁어먹는다니 ㄷㄷ,0,2025-08-09 16:21:51+00:00,0
UgwJMpObvNg8x-porR94AaABAg,Ikxcuhd1TKM,@메트로부민-x6x,사람이 한결같으면 논란거리가 아니라 원래 그런갑다 함 ㄹㅇㅋㅋ,0,2025-08-09 09:17:01+00:00,0
UgxmBxaABSTYnXXncjt4AaABAg,Ikxcuhd1TKM,@코라아바타,왜 결론이 그쪽으로가냐?,0,2025-08-09 04:20:29+00:00,0
Ugz9vXeitJzh2RViggt4AaABAg,Ikxcuhd1TKM,@N0CUT,"아이유 : 밥 아직 안먹었습니다.
명수 : 밥안먹었으면 백댄서 애들 사이에 껴서 떡라면이나 먹어
길 : 왜 명수형은 욕을 안먹어요?
재석 : 이렇게 20년을 살아오셨어",136,2025-08-09 00:41:00+00:00,1
UgzmjL3EpucKPBOMfjp4AaABAg,Ikxcuhd1TKM,@macheart,명수옹은 솔직한게 매력,8,2025-08-08 17:05:13+00:00,0
