comment_id,video_id,author,text,like_count,published_at,reply_count
Ugy3R5E4Y3AfSQG9P2F4AaABAg,JrtqRi_8JrU,@키위된장국,그미머리 = 맥스부탄. 안~터~져요~!,0,2025-08-28 23:19:42+00:00,0
UgyVCw3Ky1ClX3phCh54AaABAg,JrtqRi_8JrU,@Won-w3l,금휘님 왜 숏츠를 점령하신건가요?,0,2025-08-28 10:10:54+00:00,0
UgwhELFvN5PwJ9GRc414AaABAg,JrtqRi_8JrU,@Missed_Me,금휘가 드디어 담당일진을 만났다,0,2025-08-28 02:26:46+00:00,0
UgyVnJyW_oQ1IM1PHoJ4AaABAg,JrtqRi_8JrU,@하라o,금사장이 웃으면서 말하니까 그런건데 땅바닥 드립은 실제로 들으면 기분 나쁠수도 있을것같은데,0,2025-08-27 22:48:21+00:00,0
UgwloiVWh9qHKZLNCwB4AaABAg,JrtqRi_8JrU,@borabi3502,"금사장이 예뻐서 질투.... 라고 하기는
이게 원래 저렇게 해주는게 맞긴해 ㅋ",0,2025-08-26 09:32:50+00:00,0
UgxiQydxBsytwAjbFyp4AaABAg,JrtqRi_8JrU,@기-x3j,선생님 억울하시면 출연~ 하세요~!!,0,2025-08-22 10:28:55+00:00,0
UgzCnRi4_53PHUDsMcl4AaABAg,JrtqRi_8JrU,@sachulza,사람이 쉽게 죽진 않아도 뼈는 생각외로 잘 부러지드라구요. 조심 조심.,0,2025-08-17 02:51:00+00:00,0
UgwWsGtiLiCPLqDqsPl4AaABAg,JrtqRi_8JrU,@truthisrevealed0307,근데 저런 곳은 헬스장이든 필라테스든 금방 망함...회원을 대하는 태도는 기본적으로 예의가 밑에 깔려있어야함 돌려까기 화법을 하는 트레이너 강사들은 망할수밖에없음,0,2025-08-16 01:15:26+00:00,0
UgzlGE6XxcOnUjTmTBd4AaABAg,JrtqRi_8JrU,@hoyoo-42,아니 지금 선생님이 이거 보지않을까..?,0,2025-08-15 10:53:38+00:00,0
UgyYxkpRMUf0F0pKNxt4AaABAg,JrtqRi_8JrU,@mulmukelgga,지금 선생님도 나름 경력을 걸었을꺼야 얘를 갱생시킨다 하면서 ㅋㅋㅋ,0,2025-08-15 07:04:44+00:00,0
Ugxy0EAoZp7Qy-NQ9IN4AaABAg,JrtqRi_8JrU,@cocktail-V,구독자일거야,0,2025-08-14 17:46:59+00:00,0
UgwF_Hy8rmAW5X6sEhh4AaABAg,JrtqRi_8JrU,@회천-g2h,나도 싫다 거기 안가 ㅋ,0,2025-08-13 23:53:29+00:00,0
Ugw6muPuQXKdm-TQ-c94AaABAg,JrtqRi_8JrU,@chris_eun,"안 터져요는 웃고 넘어갈 수 있는 이야기지만 돈을 땅바닥에…는 아무리 그래도 본인 고객인데 선 넘은 거 아닌가. 

본인에겐 전공이고 생계니까 진지한 건 이해할 수 있지만 수강생들은 각자 자기 직업이 있고 바쁜 가운데 짬 내서 들으러 오는 건데..",0,2025-08-13 22:40:33+00:00,0
UgyhIdThAK51WFlY6c94AaABAg,JrtqRi_8JrU,@렌고쿠-b6o,근데 저런분들이 효과는 개쩜,0,2025-08-13 15:56:51+00:00,0
