comment_id,video_id,author,text,like_count,published_at,reply_count
UgxgGNIoN_RqZpzb3_N4AaABAg,MEjemMW43JM,@이우철-c6e,실전압축 지방 ㄷㄷ,0,2025-08-29 05:55:49+00:00,0
UgzC6inS1fpXYa57ekp4AaABAg,MEjemMW43JM,@daldong3979,말 안듣는 전생 콜레스테롤 까마귀를 만난 필라 강사.,0,2025-08-27 16:19:20+00:00,0
UgzmZs0AE5vw4l22H_54AaABAg,MEjemMW43JM,@HongMangGo,"근육량이 진짜 말도 안되게 적다는건데
젊어서 뼈가 쌩쌩하면 모르겠는데
30대 중반부터는 허리 무릎 어깨 안아픈데가 없으실거에요
인생에 반도 안살았는데 골골대다 진짜 골로감",0,2025-08-27 03:38:59+00:00,0
Ugy-gAqT3X_hOPA6a6N4AaABAg,MEjemMW43JM,@shJ_1209,마른비만ㅋㅋㅋ,0,2025-08-22 08:21:38+00:00,0
Ugxos9_tg1-7-a3q4bZ4AaABAg,MEjemMW43JM,@정민재-g9r,무표정 미미미누닮음,0,2025-08-20 16:06:49+00:00,0
UgznyLldVOZ20MuOQcB4AaABAg,MEjemMW43JM,@판도라-p1v,마른비만이 여기있었네ㅋㅋ,1,2025-08-20 14:33:53+00:00,0
UgyGvJFqNLV3aSJqxtt4AaABAg,MEjemMW43JM,@kapein92,만간에 가시겠어요~ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-08-20 13:44:21+00:00,0
UgwsxcAGG_n7gg1jY_N4AaABAg,MEjemMW43JM,@너카-l5z,금휘님이 콜레스테롤 덩어리면 저는 콜레스테롤 아빠인가요?,0,2025-08-20 12:49:50+00:00,0
Ugy7uf_L492tuOWjk954AaABAg,MEjemMW43JM,@아조시,저몸에 저정도까지 지방량이 많아서 저렇게 이쁜 라인이 나오는거다 말랑말랑해보이는!!!!,0,2025-08-20 07:46:10+00:00,0
UgwV_ZCJdMC9y2AYRHB4AaABAg,MEjemMW43JM,@jinwoo.p,화라도 내주면 성의있는 선생님 아닌가? ㅋㅋㅋ 등록비 꼬박꼬박 내면서 먹을거 다 먹는 회원은 그냥 노다지잖어 ㅋㅋㅋㅋㅋ,0,2025-08-20 07:03:00+00:00,0
UgxDTNS9B7flpjh_pNx4AaABAg,MEjemMW43JM,@3rd_name280,말투가 째리쎔인뎈ㅋ,0,2025-08-19 23:54:06+00:00,0
UgycWfnRN_YtO2EDThd4AaABAg,MEjemMW43JM,@둥둥-0,나이 조금만 더 드셔보세요 하루하루가 달라질꺼에요😊 강사님이 착하게 이야기하신거죠 ㅋㅋㅋ,0,2025-08-19 17:19:28+00:00,0
UgwwJx-107Ldzd6XeEV4AaABAg,MEjemMW43JM,@않이-r5o,똥덩어리,0,2025-08-19 00:04:42+00:00,0
UgzCfLkMduMQ2JxtaaN4AaABAg,MEjemMW43JM,@wjdgusxor5,여자는 좀 말라도 있는게 정상이긴해요 식단 못해도 운동 은 빼먹지 마셔요 허허,0,2025-08-18 14:54:15+00:00,0
UgyQcerQ23TgJScpDup4AaABAg,MEjemMW43JM,@점검중분유,키야 말랑말랑해서 좋겠다~야~,0,2025-08-18 14:06:32+00:00,0
UgwQ9sNkLG-m0EpfIDR4AaABAg,MEjemMW43JM,@데드풀-l7x,지방이 좋은대로 못간사람.....,0,2025-08-18 12:20:34+00:00,0
UgxDAG3adUyiM_-Aiq14AaABAg,MEjemMW43JM,@이화윤-s5p,"마른 비만이구사😂
헉 첫 댓글 너무하네😂❤❤",0,2025-08-18 06:50:58+00:00,0
Ugw5ENnQ-DQrCEuuvXl4AaABAg,MEjemMW43JM,@머머머머머-t9z,"정신차려라 금휘
주위에 40-50키로 초반 
마른몸에 지방량 많고 근육량 적은 누나들 
갑상선이나 여성질환 기타등등
년에 실비 & 건강보험 적용하고도 년간 천단위로 병원비&약값&교통비 등등 돈 다나가더라",0,2025-08-17 19:19:58+00:00,0
UgxmMHaaIFOh5MK9Iwx4AaABAg,MEjemMW43JM,@동호-b6x,"쌤이 너무 팩폭을 금휘짱에게 날렸네 ㄷㄷ 허허 
울 금휘짱이 넘 마르기만 했지 근육량이 그냥 보기에도 넘 적어 보이긴 했어 건강 잘 챙기자 금휘짱",0,2025-08-17 18:20:31+00:00,0
Ugxn6ncMccw4ZkvJJk54AaABAg,MEjemMW43JM,@Qnana7969X,뭐야 왤케 이쁨,0,2025-08-17 17:06:32+00:00,0
UgwClutp2sfoowGgpzh4AaABAg,MEjemMW43JM,@feelee4209,"금휘야 필테 선생님 전문성이 심히 의심된다 
금휘같은 마른 비만 특히나 여성의 경우에는 결론적으로 지방만 빼야하는데 이미 마른 상태에서 식이요법으로 지방만 빼는건 거의 불가능에 가까워 

제일 중요한건 근육량 증가야 운동으로 근육을 늘려야 지방이 빠지고 눈바디가 변하는데 일단 필라테스가 근육량 증가에 좋은 운동이 아니야 그거야 뭐 필테 선생님 입장에서 필테는 별로고 헬스나 하시죠 할순 없으니 제껴두더라도 제육이나 돈까스를 먹었다고 다이어트 운운하면서 뭐라하는건 생리학적인 지식이 전무하다고 보인다 

물론 닭가슴살, 계란 흰자 같은 완전 클린식보다는 안좋은 식단이 맞아 나트륨과 당때문에 당장 붓기도 있을테지 그치만 금휘처럼 일단 근육량을 늘려야하는 여성 입장에선 먹어서 나쁜 식단은 아니야 설마 제육, 돈까스 보다는 단백질 조금에 풀때기 위주로 먹으라고 해? 하루 칼로리도 적게 잡아줘? 그럼 진짜 아예 모르는 사람이야 

당장 끊고 그 돈으로 차라리 헬스장가서 쇠질하고 일반식 단백질 넉넉하게 챙겨먹어 그러다 근육량 확실히 늘면 그때가서 나트륨, 당, 탄수화물 잠깐 끊는게 너가 원하는 몸매, 체지방량 얻는 지름길이야

여자들이 많이 착각하는게 일단 굶으면 다 해결될거라 생각하는데 반만 맞아  굶는거로 도달 가능한 최종 도착지가 금휘 몸이야 누군가에겐 꿈의 몸이지만 넌 아니자너? 더 나아지고 싶자너 근데 너 이미 필테 선생님이 만들수 있는 최종병기야 

거기서 체지방량까지 빼고 탄탄한 몸이 될려면 무조건 단백질 많이 먹고 근력운동 해야돼 되도 않는 유사 스트레칭 깔짝이면서 적게 먹는거 절대 도움 안돼 제일 크리티컬한게 적게 먹는거야 단백질 무조건 많이 먹어야돼",13,2025-08-17 13:14:43+00:00,2
UgzPh8mb5GKzngL-ogN4AaABAg,MEjemMW43JM,@wagonspeed2108,걍 타고난몸매라는거네 어휴 이친구 안돼겠엉,0,2025-08-17 12:58:36+00:00,0
Ugy4l03JfSSEKMcBQdV4AaABAg,MEjemMW43JM,@서고니-f9i,콜레 덩어리 금휘 ㅋㅋㅋㅋㅋㅋㅋ,0,2025-08-17 12:47:47+00:00,0
UgxtfiZJWXpCZeW-3od4AaABAg,MEjemMW43JM,@무적탑쥐,딱봐도 뱃살존내많아보이는구만,0,2025-08-17 10:16:52+00:00,0
Ugz_6q8dx5JrNC38CKR4AaABAg,MEjemMW43JM,@rssa821,콜레스테롤이 말을한다!,0,2025-08-17 09:06:13+00:00,0
UgxHJpHNmPOPx3RKxMt4AaABAg,MEjemMW43JM,@wolfk3893,내장형 지방😅 ㅋㅋㅋ,1,2025-08-17 08:54:08+00:00,0
UgyT1Fe703dp12u-kOF4AaABAg,MEjemMW43JM,@handling_investment,마른 비만인에게 좋은 운동은 헬스와 달리기&스텝밀 병행임.,0,2025-08-17 07:53:27+00:00,0
Ugx-3Iu6x7ymRMpUusx4AaABAg,MEjemMW43JM,@kkkkkk-zx1bm,심장도 근육이다.,0,2025-08-17 05:35:20+00:00,0
Ugz5CWRQei9jfgTOfQZ4AaABAg,MEjemMW43JM,@양경모-n5r,망랑..하다는건가...,0,2025-08-17 00:28:55+00:00,0
UgzQXsffrYKUrEzZ4Nl4AaABAg,MEjemMW43JM,@alsenkoygb-k3l,"근육이 지방보다 많아야하는 몸인데
근육 지방이 한 3:7인가봄 ㅋㅋ",0,2025-08-16 23:09:22+00:00,0
UgyxBaNDqXbV9rCsfhZ4AaABAg,MEjemMW43JM,@TE37_SL,썸넬 표정 페페 짤 같네 어케함??,0,2025-08-16 22:45:32+00:00,0
UgyELRkihanxzg-K-X14AaABAg,MEjemMW43JM,@태양의_맛,곱이 가득,0,2025-08-16 18:46:05+00:00,0
UgwPOSHnOT-69UpYCpJ4AaABAg,MEjemMW43JM,@만군-m2z,그래도 똥덩어리 보단 낫군,0,2025-08-16 17:27:08+00:00,0
UgyXJEiwAmGFnqYv-bd4AaABAg,MEjemMW43JM,@koo0109na,ㅋㅋㅋㅋㅋ 만간에~ ㅋㅋㅋㅋ,0,2025-08-16 16:59:07+00:00,0
UgydMLXkRskPQWiIG5l4AaABAg,MEjemMW43JM,@Delmn,"내장지방이 진짜 많거나, 근육이 진짜 아예없거나...",1,2025-08-16 15:39:01+00:00,0
UgzgBbAoYML77nikVAt4AaABAg,MEjemMW43JM,@햇살-d1n,챙겨 보지는 않는데 쇼츠로 뜨면 보는데 넘기지 않고 보게 되는 매력 있음,0,2025-08-16 15:35:54+00:00,0
Ugy36kDP0kKEtjARZ1F4AaABAg,MEjemMW43JM,@junelee5009,ㅋㅋㅋㅋㅋㅋㅋ 근골격량이 얼마나 없는거야 ㅋㅋㅋㅋㅋㅋㅋ,0,2025-08-16 14:57:54+00:00,0
