comment_id,video_id,author,text,like_count,published_at,reply_count
Ugwurh_fNgaWh-LOMBZ4AaABAg,PO6qCbM_5vk,@은월랑-u2o,진상응대 포함이라 진상들은 본인들이 진상이라는것을 알면 좋겠다,0,2025-09-03 09:41:52+00:00,0
Ugx6IpfXg_JXehzhW_l4AaABAg,PO6qCbM_5vk,@borabi3502,"진짜 짐승같은새기들 상대하는게 
개빡세고 개빡침 ㅋㅋㅋㅋㅋㅋㅋㅋ",0,2025-09-03 08:45:40+00:00,0
UgyY7LEaw2rY8QdTYXV4AaABAg,PO6qCbM_5vk,@또가리-i6u,진짜 진상새끼들 많음,0,2025-09-03 05:08:53+00:00,0
UgzPCoyplsvxLvcgU614AaABAg,PO6qCbM_5vk,@user-xx1oh9zg5t,친절은 선택이고 불친절이 잘못된 거지.,0,2025-09-03 03:30:54+00:00,0
UgwUm04u1Iug5CeFx7N4AaABAg,PO6qCbM_5vk,@리월s,서비스직=감정노동,0,2025-09-03 03:17:39+00:00,0
Ugzup9_O2W80OH3XJ2d4AaABAg,PO6qCbM_5vk,@이석훈-k6q,서비스직하면서 내 주위에 이 정도의 인간들이 꽤 되는구나를 느꼈음,0,2025-09-03 00:53:26+00:00,0
UgzQt5IZ-6h_H79AVL54AaABAg,PO6qCbM_5vk,@안효철-b6t,와 피시방 금휘님이 알바면 매출 어마무시 했겠네,0,2025-09-03 00:42:14+00:00,0
UgxuRZ3e_cmavwyTq3d4AaABAg,PO6qCbM_5vk,@나영훈-x5f,"일반손님인가 진상손님인가 -> 사람X끼인가 아닌가
로 변해가는 서비스직 담당자",0,2025-09-03 00:21:12+00:00,0
UgxJ8vVd5kPkMu8JAd94AaABAg,PO6qCbM_5vk,@ppp0988,이쁘다,0,2025-09-03 00:01:02+00:00,0
UgxDpRwpBwmIX5Cn9tV4AaABAg,PO6qCbM_5vk,@김민희-b2r9j,저는 서비스직도 아닌데 왜 머리털이 빠지는건데요?,0,2025-09-02 23:47:51+00:00,0
Ugxw_SSgllrdjx1WlLR4AaABAg,PO6qCbM_5vk,@진천화,아 내 머리털이 빠진게 서비스직을 했어서....?,0,2025-09-02 23:17:13+00:00,0
UgyCWKyr29gDxzc3q9d4AaABAg,PO6qCbM_5vk,@ma0323-3,근데  서비스직이 먼저 친절한사람도 요즘 많진않다~,0,2025-09-02 23:13:10+00:00,0
UgxOzlxj8Ly0IQD6hyp4AaABAg,PO6qCbM_5vk,@인성천재,"아마 한국 대부분 근로자가 서비스직일거임
편돌이 같은것만이 아니고 변호사도 결국 법률서비스직이니까",0,2025-09-02 22:40:44+00:00,0
UgzoihZaRq1TUyd8Zjt4AaABAg,PO6qCbM_5vk,@하림-t7z,"서비스직에 있다보면 안다.

세상엔..되게 심심한 ㄸㄹㅇ들이 생각보다 많다는 걸.",0,2025-09-02 22:17:36+00:00,0
UgwwZf5iipVZlJvbOil4AaABAg,PO6qCbM_5vk,@새쩌,"서비스직도 어리거나 나이대 비슷하면 빡치게 해도 내가 같이 ㅈㄹ하면되는데. 
어른들 상대 많이 해야되는 서비스직은 진짜 빡센게 대부분 해줘 마인드.",1,2025-09-02 22:13:37+00:00,0
UgzSdZhXi2CD8ZmLxnJ4AaABAg,PO6qCbM_5vk,@philomoral,예쁜 피씨방 알바 누나였군요?,0,2025-09-02 20:52:07+00:00,0
UgxMaAKf00oiAw0Wr9B4AaABAg,PO6qCbM_5vk,@TheDaethelf,눈매가 아름답다❤❤,0,2025-09-02 20:27:14+00:00,0
Ugzcsx93xh44cADwSO14AaABAg,PO6qCbM_5vk,@따흐앙-o9u,미어캣 닮았음ㅋㅋㅋㅋ,0,2025-09-02 19:59:22+00:00,0
UgwJ46xAGu9IE-ar2WV4AaABAg,PO6qCbM_5vk,@이호윤-q1z,"편의점알바하는대 술취한사람이 갑자기 들어와서 하는말이

야 돈좀 빌려줘 이러길래

제가 그말듣고 바로

당신 누군데요? 저 아세요?

하니까 눈치 슬슬보더니 가더라고

내가 키가180에 몸무게가 100이였는데

내가아니라 여자알바였어봐 개겼을거 아니야?

새상에 또라이들이 너무마나",0,2025-09-02 19:01:39+00:00,0
UgxuZn5FRLkbusu2Os54AaABAg,PO6qCbM_5vk,@nars7493,금융 쪽 서비스직군 일하면서 고혈압 부정맥 대인기피증 생기고 그만두니 좋아지는 중....,0,2025-09-02 18:18:53+00:00,0
Ugz0SUpUhFb-ylRdSQl4AaABAg,PO6qCbM_5vk,@후리한면상,서비스직하면 화가 너무많아짐요 빡치게 하는인간들 죽일수있겠다 이런생각 많이듬,0,2025-09-02 16:28:58+00:00,0
