comment_id,video_id,author,text,like_count,published_at,reply_count
UgxCtbnr5zP3drstQKR4AaABAg,QHfZ49xgCkc,@정재감,"족벌 ㅈ소 기업은 박봉에 일도 힘들다...
비위도 맞처야되고.... 그냥 ㅈ 같음..ㅎㅎㅎ",0,2025-09-01 14:47:19+00:00,0
UgxTBI7VWHAOyoiATe14AaABAg,QHfZ49xgCkc,@이지윤,"ㅋㅋㅋㅋ저도 ㅋㅋㅋㅋㅋㅋ작은 소형법인 거래처갔을때 거기 젊은 매니저님이 대표님한테 오빠라길래 멈칫했더니.
 따님이시라고 ㅜㅜㅋㅋㅋㅋㅋ
오빠를 아빠로 잘못들었던 ㅋㅋㅋ;",0,2025-08-30 08:32:29+00:00,0
Ugx5pcZoipvcoV0i1kB4AaABAg,QHfZ49xgCkc,@bomy22,별로 웃긴얘기가 아니어서 무표정하게 보고있는데 금사장 하도신나게 웃어서 같이웃고있네 나도 ㅋㅋㅋ,0,2025-08-19 16:39:24+00:00,0
UgzLiGjOY9q2Tvden2x4AaABAg,QHfZ49xgCkc,@치킨제조기,ㄹㅇ 사귀는거 아니면 사장이 임신한게 이상하긴해,0,2025-08-19 12:14:34+00:00,0
UgwpOTfeJEoT8nMXWSd4AaABAg,QHfZ49xgCkc,@김서광,백두혈통 맥이기,0,2025-08-19 01:49:31+00:00,0
UgwW76US7_4tgs7l7014AaABAg,QHfZ49xgCkc,@hyoyeolkwon8835,빡대가린가? 남자아저씨 배만지면서 임신을 말하는데 오해를 한거면 신입은 최소한의 개념조차 탑재하지 않은 빡대가리인거지,0,2025-08-18 20:41:58+00:00,0
Ugyuod5OqTuVYXqpuMF4AaABAg,QHfZ49xgCkc,@반하-x9g,오해할만하네ㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-08-18 03:56:52+00:00,0
UgxroRFBlmt_bwSptI94AaABAg,QHfZ49xgCkc,@IdeaTimeService,같은 직장에 가족이 있다? 도망쳐야지...,1,2025-08-18 00:33:20+00:00,0
UgyOFNLURWZ1u_lKLkB4AaABAg,QHfZ49xgCkc,@fdzz_real,아빠라고 잘 돌려막았구만,0,2025-08-17 23:19:17+00:00,0
UgwGK7Pdb7qOFj5aYhZ4AaABAg,QHfZ49xgCkc,@zxcv9201292,무슨 드라마여..?! ㅎㅎㅎㅎㅎㅎ;,0,2025-08-17 16:41:58+00:00,0
Ugwbk8zZqJKaQwrq6TR4AaABAg,QHfZ49xgCkc,@그루-l4z,바로 소문내는 꼬라지 보니...,0,2025-08-17 15:28:31+00:00,0
UgwrFWr6DWIfr2vZzmp4AaABAg,QHfZ49xgCkc,@denggool2,헌실) 사장 딸이면 어떨까 망상하는 20대 경리직 소녀의 주작글,0,2025-08-17 14:31:45+00:00,0
UgxSh78RQqMA9_rG90R4AaABAg,QHfZ49xgCkc,@정콩,사랑이긴하네 ㅋㅋㅋ,0,2025-08-17 10:23:29+00:00,0
UgyD4D0m_VW-TzRKZPB4AaABAg,QHfZ49xgCkc,@박준용-l3h,그냥 사귀는 사이라고 속여주시면 안될까요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2025-08-17 10:13:34+00:00,0
Ugz6df0LbfRlbtYz1yl4AaABAg,QHfZ49xgCkc,@쿠쿠-u8d,부녀지간이어도 아빠 회사에서 일하면 티내면 안되지 ㅋㅋ,0,2025-08-17 06:22:07+00:00,0
UgyyEl_U4bQNHFB9FKx4AaABAg,QHfZ49xgCkc,@SJW9606,"임신이 아니면 설명이 안돼…
신입 : 생리를 안하나?
나 : 아빠 배가 도대체 어떻게 이러지?",1,2025-08-17 05:50:36+00:00,0
Ugz_T7sqFbEP3J99TOl4AaABAg,QHfZ49xgCkc,@임시계정-q7s,금사장 너무 이쁘다 진짜 하,25,2025-08-17 04:26:36+00:00,1
UgxFNsH4focYppK2lpp4AaABAg,QHfZ49xgCkc,@kianakaslana7678,딸이랑 압쥐 너무 귀여운 장면이네요 ㅋㅋㅋㅋ,80,2025-08-17 04:10:02+00:00,0
UgwaNriO1VK1rzytPXx4AaABAg,QHfZ49xgCkc,@배찌마루,가족회사..,0,2025-08-17 04:01:13+00:00,0
Ugxq16Ku6DdWcoNEmfJ4AaABAg,QHfZ49xgCkc,@신사임니당-w2y,"신입은 여자가 남자 임신 시킨줄 안거네?
편견이 없네. 열린사람",0,2025-08-17 03:59:17+00:00,0
Ugz2AdFvkqF6iNa9hyF4AaABAg,QHfZ49xgCkc,@fkgkfmxm,"딸은 아빠 배가 임신이 아니면 설명이 안되고
신입은 둘이 사귀는거 아니면 설명이 안되고
직원들은 저 삼각관계 설명이 설명이 안되고",201,2025-08-17 03:38:36+00:00,2
UgymWYvkeLXSzGInWlt4AaABAg,QHfZ49xgCkc,@XellOsGame,"가족 회사는 가는거 아니더라
특히 중소기업
갔다가 3주만에 그냥 나와버림",39,2025-08-17 03:30:14+00:00,16
UgwL1R1sfaFfKynlCkF4AaABAg,QHfZ49xgCkc,@Gale_Sniper,사실 ㅇㅇ씨는... 사장님 딸이야 / 신입 : ㅇoㅇ(입에 머금은 커피를 주르륵 흘리며),0,2025-08-17 03:30:07+00:00,0
