comment_id,video_id,author,text,like_count,published_at,reply_count
UgzmWzUYgJXlPgR44lB4AaABAg,QuR5Dwrkbrg,@And-a,2:02 이거 왜 엉덩국이 그린 그림같냐 ㅋㅋㅋ,0,2025-09-03 05:24:51+00:00,0
UgzHa1mW21qgiAkfe254AaABAg,QuR5Dwrkbrg,@pano167,이분 빙구처럼 웃는게 개치이네,0,2025-08-31 00:15:01+00:00,0
UgwDi3aLr4MI3hMDbaJ4AaABAg,QuR5Dwrkbrg,@뜌기,😄😄😄,0,2025-08-29 14:02:32+00:00,0
UgxjvwBt0ovWMed1GiJ4AaABAg,QuR5Dwrkbrg,@윤창현-l1x,금사장님은 승질내실때는 태토 같은데... 평소엔 에겐 같아요..,0,2025-08-29 11:37:15+00:00,0
UgxoYG8yCYc8OWuzoQ14AaABAg,QuR5Dwrkbrg,@뭘보냐-c7j,"""금휘""녀요.... 세상에 단하나뿐인",0,2025-08-29 05:42:11+00:00,0
Ugwp7n7QOAFvBs1qTl54AaABAg,QuR5Dwrkbrg,@Wooriwoowoo,광…녀,0,2025-08-28 20:22:23+00:00,0
UgzUsM4hqzBjfzISgQN4AaABAg,QuR5Dwrkbrg,@user-Kyrie_eleison,사람이어떻게 이렇게 이쁘지?ㅁ,0,2025-08-28 06:04:39+00:00,0
UgwcpaX38TRByUv7JFV4AaABAg,QuR5Dwrkbrg,@공민철-r8b,"에렌남입니다
신조 사사게오",1,2025-08-28 05:38:41+00:00,0
Ugz7NL_k_oCdmboeUXF4AaABAg,QuR5Dwrkbrg,@GanDtr,"음…. 둘 중 뭐냐면…….
에게~~~~
입니다",1,2025-08-27 15:54:09+00:00,0
UgyV3QftXr_sTh6xwIF4AaABAg,QuR5Dwrkbrg,@신광진-u5n,당신은 일댠 녀 가아니야...,0,2025-08-27 11:18:15+00:00,0
UgxLZCNqliDuHy_DsfV4AaABAg,QuR5Dwrkbrg,@misojang7747,테겐녀,0,2025-08-27 04:53:17+00:00,0
UgyLNQsF1zEvpPSR2jx4AaABAg,QuR5Dwrkbrg,@김이박-u3q,연상은 마망을 찾는거라 에겐녀가 좋아,0,2025-08-27 03:03:40+00:00,0
Ugw3CugIejcbvXOrJ7p4AaABAg,QuR5Dwrkbrg,@slowkim2548,사람들이 간과하는게 있는데 에겐은 유튜버가 될 수 없다.,0,2025-08-27 00:08:58+00:00,0
UgxppUdAh0k-wkc5xGV4AaABAg,QuR5Dwrkbrg,@욜숫,입 안 열면 에겐녀.....,0,2025-08-26 09:12:29+00:00,0
Ugx_CMWbBYLmTAyMewt4AaABAg,QuR5Dwrkbrg,@Handle12345-l,귀요미임 ㅋㅋ,0,2025-08-26 08:07:35+00:00,0
UgywCUnwaPVKJ7zNQyx4AaABAg,QuR5Dwrkbrg,@dayoff3805,애새끼녀,1,2025-08-26 06:43:05+00:00,0
UgwQEYXX4n7cKeJI6l14AaABAg,QuR5Dwrkbrg,@Denoss-k3t,테트로도톡신녀같아 중독적이야,0,2025-08-26 05:24:32+00:00,0
UgztVpFNW_dg392CQH54AaABAg,QuR5Dwrkbrg,@chameleon4986,그미님는 테겐남입니다 ㅎㅎ🤣🤣,0,2025-08-26 04:32:01+00:00,0
UgxeOcDrcK8Xf5C-_Ld4AaABAg,QuR5Dwrkbrg,@rosting-Hwang,금사장은 그냥 그미...,0,2025-08-26 04:13:25+00:00,0
UgztxmJq5mvG-qLqDFN4AaABAg,QuR5Dwrkbrg,@johnnyjung2724,금휘는….결혼 못할 끼다,0,2025-08-26 03:01:09+00:00,0
UgySsu-Ik4U4ZXxoLdd4AaABAg,QuR5Dwrkbrg,@seohofan0,애새끼(욕해서 ㅈㅅ),0,2025-08-26 00:44:27+00:00,0
UgxoT8DGBvC_C6kxd3p4AaABAg,QuR5Dwrkbrg,@Janjanhane_,에토녀요. 침투력이 빠릅니다.,0,2025-08-25 23:54:29+00:00,0
Ugy-mmU9dPg95kny1Qd4AaABAg,QuR5Dwrkbrg,@권현빈-b2t,"결혼한지 4년된 4살차이 
연상에겐남 연하테토녀 부부인데 아주 잘 맞는거 같슴니다 !!",0,2025-08-25 22:03:51+00:00,0
UgxA_vC2ZD-TlG2vMal4AaABAg,QuR5Dwrkbrg,@박한자성자,에겐남이거나 테토녀,0,2025-08-25 13:02:49+00:00,0
Ugy3Ca3YX5FnDPzMGFJ4AaABAg,QuR5Dwrkbrg,@철광-m3l,"테토녀인지...에겐인지...모르겠는데 일단












미녀야",0,2025-08-25 09:45:22+00:00,0
UgzjlSgVogSH6dJKf3B4AaABAg,QuR5Dwrkbrg,@greeeeeetea,에겐,0,2025-08-25 08:08:51+00:00,0
Ugy7YJijp54NgMBLQi94AaABAg,QuR5Dwrkbrg,@sikrohich,예토전생(해야하는) 여자,0,2025-08-25 07:57:32+00:00,0
UgwRfSycNlmBKtRQfw94AaABAg,QuR5Dwrkbrg,@sh8858,여장 남여자?,0,2025-08-25 05:23:28+00:00,0
UgwktzghwnHmxTrWYgV4AaABAg,QuR5Dwrkbrg,@crazy08654,그미넴른 대장부(금버지 피셜)시죠,0,2025-08-25 04:28:35+00:00,0
UgxFuShrWMjBeHlUc0l4AaABAg,QuR5Dwrkbrg,@moong-yong,야랄녀,0,2025-08-25 04:11:42+00:00,0
Ugx0tQf-l6VuJYPoBal4AaABAg,QuR5Dwrkbrg,@radoinyoarea,그냥 못생남 못생녀 멸치남 뚱땡녀 이런게 알기쉽고 좋자나,0,2025-08-25 01:40:04+00:00,0
UgxNN3JC0NGafAfeB5N4AaABAg,QuR5Dwrkbrg,@포인트코로,그저 푼수...,0,2025-08-25 01:23:22+00:00,0
UgwwU-y3R5iIPwTVwUd4AaABAg,QuR5Dwrkbrg,@레뽀,테토남,0,2025-08-24 23:09:50+00:00,0
UgyOBT1ErxHLIyiAhsV4AaABAg,QuR5Dwrkbrg,@h9981025,애걔녀,0,2025-08-24 22:36:26+00:00,0
Ugx34lFugcN8S1U9zxZ4AaABAg,QuR5Dwrkbrg,@Gale_Sniper,아무래도 테토녀죠? 그래서 더 친근감이 들어요ㅋㅋㅋ,1,2025-08-24 17:58:14+00:00,0
UgwRNoNmXpiX6Ig4rEt4AaABAg,QuR5Dwrkbrg,@김김-d1j,금휘는에겐이지이뽀가토테,0,2025-08-24 17:24:42+00:00,0
UgzCQOR0GVY1xMCVgpd4AaABAg,QuR5Dwrkbrg,@성이름-y9b1i,하드웨어 에겐녀 소프트웨어 테토남,1,2025-08-24 16:59:57+00:00,0
UgxfrHnKdZTstmd-WHJ4AaABAg,QuR5Dwrkbrg,@파멸의대집행관,테토트로겐  이십니다,0,2025-08-24 14:22:58+00:00,0
Ugyo4xrrrl5XOuxyMPR4AaABAg,QuR5Dwrkbrg,@제야기,일단 둘 중에 하나가 있긴있다는 거지?,0,2025-08-24 13:53:06+00:00,0
UgwryBWyvpaDsmRchER4AaABAg,QuR5Dwrkbrg,@lousynoway5179,뭐긴 뭐야 그냥 빙구지 ㅎㅎ,0,2025-08-24 13:24:15+00:00,0
Ugw2fSTi-tIogh-pJR54AaABAg,QuR5Dwrkbrg,@신민규-g7s,에겐녀. 😂😂😂,0,2025-08-24 12:48:28+00:00,0
UgyNB0ogxvVMbgAdNU14AaABAg,QuR5Dwrkbrg,@HYUNWOOKIM-qj4lj,나 에겐 그녀,0,2025-08-24 12:47:30+00:00,0
UgxeSapkgu-J5hON29l4AaABAg,QuR5Dwrkbrg,@junh0-sam,미녀,0,2025-08-24 12:10:30+00:00,0
UgzjmDKmrtAl6IOGUPd4AaABAg,QuR5Dwrkbrg,@갑상선자극호로몬,테겐남?,0,2025-08-24 12:07:19+00:00,0
UgzAvav90J82yBLXDKN4AaABAg,QuR5Dwrkbrg,@CZ1219,테토녀 에겐남은 갱년기 증상이라는 말이 머릿속에서 떠나질 않는다,0,2025-08-24 12:01:14+00:00,0
UgwwJHlAL8J3yJPA7s94AaABAg,QuR5Dwrkbrg,@꽗뜵뼶콗쭀큯랁덺,테ㅌ..ㅡ로톡신녀..,0,2025-08-24 11:57:38+00:00,0
UgyUf_y2Fx1IMg-GKa14AaABAg,QuR5Dwrkbrg,@ssaktoong,에겐남이라구요,0,2025-08-24 11:29:22+00:00,0
UgzXxzDHlvawcqa9SsN4AaABAg,QuR5Dwrkbrg,@봄-t1e,토겐녀 에토녀,0,2025-08-24 10:58:27+00:00,0
Ugy6itQSc2julvIqg9N4AaABAg,QuR5Dwrkbrg,@youtxseocky3512,그냥 이쁜년….🥹,0,2025-08-24 10:56:20+00:00,0
Ugw2cwRCYE5i55rcuZt4AaABAg,QuR5Dwrkbrg,@bbsj-wh6ow,테토 에겐 말하는순간 에겐임 ㅋㅋㅋ,0,2025-08-24 10:48:19+00:00,0
UgwDfhAuW5aQKMkVzhJ4AaABAg,QuR5Dwrkbrg,@Gaia-Drake,에테몬이십니다.,22,2025-08-24 10:22:56+00:00,0
UgyAdyx7_Ll3BFzZvqN4AaABAg,QuR5Dwrkbrg,@clarksong2147,에겐남 이다!,1,2025-08-24 10:19:00+00:00,0
UgzbPKMNa0vhxMWKj8x4AaABAg,QuR5Dwrkbrg,@페리땅12wes,에겐녀 느낌나는 존예녀!!,0,2025-08-24 09:51:31+00:00,0
UgwIX37IDGtM0dklsBd4AaABAg,QuR5Dwrkbrg,@야-q5c,근데 에겐남 태토녀 그냥 갱년기 아님??,1,2025-08-24 09:48:42+00:00,0
UgxRv9BqOdJvH_wYOvt4AaABAg,QuR5Dwrkbrg,@제임스-l2b3,푸린의 그녀,0,2025-08-24 09:42:53+00:00,0
UgwwahMVr_8JHG9WF0J4AaABAg,QuR5Dwrkbrg,@lululu2899,얼레?? 다시 올라왔당,0,2025-08-24 09:41:59+00:00,0
Ugxz5EOlA_B9NyU3SGp4AaABAg,QuR5Dwrkbrg,@dhs1391,에겐남 아니였음?,0,2025-08-24 09:41:27+00:00,0
UgxWSDdtcqN7wlXPA_l4AaABAg,QuR5Dwrkbrg,@euthanoxy,썸넬 조이현 개처이쁘네,5,2025-08-24 09:38:43+00:00,1
UgxuRClx3krl4lUKG_V4AaABAg,QuR5Dwrkbrg,@LuckyKameil,테토남이용,0,2025-08-24 09:35:57+00:00,0
UgwbVp58cXcCwr0bG2F4AaABAg,QuR5Dwrkbrg,@sieuncho,에겐에겐,0,2025-08-24 09:27:56+00:00,0
UgxkalO37fMr0RBprel4AaABAg,QuR5Dwrkbrg,@아리타모,"아까는 최고의 조합 : 테토남 + 에겐녀, 테토녀 + 에겐남 이었는데",1,2025-08-24 09:27:55+00:00,0
Ugx7XdCtgSnSlqkb9Zt4AaABAg,QuR5Dwrkbrg,@한시안-g6w,그미님은 유~~~명한 에겐남이죠ㅎㅎ,5,2025-08-24 09:06:52+00:00,0
UgzKKBohE1DEkXctmKx4AaABAg,QuR5Dwrkbrg,@Replicate7,애매하니 그냥 테겐녀,0,2025-08-24 09:06:45+00:00,0
Ugy-nv2LsOEl_Ohc3et4AaABAg,QuR5Dwrkbrg,@mercury9736,(고뇌중),0,2025-08-24 08:59:50+00:00,0
UgxQ4StD6C80eiqyP4Z4AaABAg,QuR5Dwrkbrg,@츄배릎-n9b,이거 아까올라온건데 왜 다시올라온거에요?,3,2025-08-24 08:59:05+00:00,0
UgwqNBiSjRGUB-kluAt4AaABAg,QuR5Dwrkbrg,@AGOTIT8619,그미는 에겐이지ㅋㅋㅋㅋ,0,2025-08-24 08:58:01+00:00,0
UgzUDNl1RnPwhFDqPOd4AaABAg,QuR5Dwrkbrg,@송승호-d5f,이상한녀,0,2025-08-24 08:57:43+00:00,0
Ugx60tk8bKGb6cX4-ax4AaABAg,QuR5Dwrkbrg,@그냥사는사람-f10,이거 왜 다시 올라옴,26,2025-08-24 08:57:13+00:00,0
UgwNud416q80Lq1r93V4AaABAg,QuR5Dwrkbrg,@BRDMN9999,돈통들한테 하는거 보면 테토남임 아무튼 맞음,1,2025-08-24 08:56:28+00:00,0
UgyEad9zoRurhZ1Q7th4AaABAg,QuR5Dwrkbrg,@user-za5dx8re3a,귀여워요 ㅋㅎㅋㅎ,3,2025-08-24 08:55:15+00:00,0
Ugxy3mV4l_druNCAMA54AaABAg,QuR5Dwrkbrg,@불싸이버거,에겐남이십니다,58,2025-08-24 08:54:55+00:00,0
UgyKUHV-pcP_SW9SzMh4AaABAg,QuR5Dwrkbrg,@Taehun0820,ㄴㄴ 금사장은 유명한 테토남임😮,11,2025-08-24 08:54:49+00:00,0
UgyyvlKJkyr4vatdwCV4AaABAg,QuR5Dwrkbrg,@임세빈-c6l,무조건 씹 에겐이지,0,2025-08-24 08:54:31+00:00,0
Ugz0BXScvzcalh0nTbR4AaABAg,QuR5Dwrkbrg,@무명-v8b,테토같은 에겐녀요,0,2025-08-24 08:54:30+00:00,0
