comment_id,video_id,author,text,like_count,published_at,reply_count
Ugyna314k__rYhXwnPx4AaABAg,RogULudecGc,@user-vb2fk8ef3o,"남자 화장실드립은 진짜 ㅋㅋ 
뭔소린가 했네",0,2025-09-02 23:02:35+00:00,0
UgxUN99iENKoHUeCcEB4AaABAg,RogULudecGc,@namseon,돈 빌려달라고 하지마,0,2025-08-31 13:00:26+00:00,0
UgzPC4uQTRHVTdJS-ph4AaABAg,RogULudecGc,@TekkaiGuardianl5162,총장님..?,0,2025-08-29 04:52:38+00:00,0
Ugwrhn7RKoyLaAyY5Jp4AaABAg,RogULudecGc,@timebro,역시 웃대,0,2025-08-28 05:32:58+00:00,0
UgzUeXCXsiWGIPSUxv14AaABAg,RogULudecGc,@채민-s8m,족보 달라는거지 뭐~,0,2025-08-27 18:04:13+00:00,0
UgxjYBVDnUcQQUJ8JEJ4AaABAg,RogULudecGc,@왕눈이-v8e,오늘따라 금휘.ㅈㄴ 이쁘네,0,2025-08-18 22:02:25+00:00,0
UgxOiJGDa61Rq9CG8uN4AaABAg,RogULudecGc,@g.ny0n9,총장실엔 화장실도 있었군,0,2025-08-18 07:53:53+00:00,0
UgxwZVT9pwY_HBGDAP94AaABAg,RogULudecGc,@곰-s8j,신천지?,0,2025-08-17 20:44:50+00:00,0
UgyLrkAkJ_n7bE9nabp4AaABAg,RogULudecGc,@Anvoen,학식먹고 월세부터 알아보러 가자,0,2025-08-16 00:04:39+00:00,0
UgyE5zpdrG91ByNRe3F4AaABAg,RogULudecGc,@앉을현설현,웃대는 확실히 뭔가 웃대만의 느낌이있다 ㅋㅋㅋㅋ,0,2025-08-15 06:47:07+00:00,0
UgxcDe9gCHOXabUXUxV4AaABAg,RogULudecGc,@SHAn-xi4js,술먹여서 장기 털어가도 아무도 관심없을..,0,2025-08-14 09:34:48+00:00,0
UgwOUiBj5XW-PYttz0Z4AaABAg,RogULudecGc,@mms-d2p,저런일이 있다면 여자가 신천지 아닐까,0,2025-08-13 17:04:38+00:00,0
Ugx2LCNAzkTRf9CDw914AaABAg,RogULudecGc,@뿜뿜-d3v,웃대 ㅁㅊㅋㅋㅋㅋ,1,2025-08-12 08:39:40+00:00,0
