comment_id,video_id,author,text,like_count,published_at,reply_count
UgzIhWkKJyXvsapuQ6B4AaABAg,UaAXpiTLrco,@Nam_T,님도 몸매는 좋아요...,0,2025-08-29 13:41:13+00:00,0
UgyAUEDizNBCQuXPrt14AaABAg,UaAXpiTLrco,@향향향-i1o,마지막은 도라에몽이잖아 ㅋㅋㅋㅋ,0,2025-08-19 09:40:39+00:00,0
Ugwqn8YZze9eFsyKWnN4AaABAg,UaAXpiTLrco,@Young_Socrates-c8z,강동원 등어깨를 저런식으로 언급하는 거 보면 확실히 여자들이 공간지능감각이 떨어지긴 하는 듯,0,2025-08-18 23:23:51+00:00,0
UgylQUD6ovMjOb1zezB4AaABAg,UaAXpiTLrco,@soulpark8085,뷔 나오자마자 맞췄다,0,2025-08-18 00:22:15+00:00,0
UgynaV1h_HC1oiC3m394AaABAg,UaAXpiTLrco,@matdori999,금휘가 최고다,0,2025-08-15 16:16:16+00:00,0
Ugw4YmCcXTw79ILX42B4AaABAg,UaAXpiTLrco,@saesang557,어....?,0,2025-08-08 03:14:46+00:00,0
UgxkHS6j1EjXGEJ4BaJ4AaABAg,UaAXpiTLrco,@Major_mun,그림자 주인 본인이 찍은거 아님?,0,2025-08-07 13:48:11+00:00,2
Ugy1Iv3hlHtu_h6Xygh4AaABAg,UaAXpiTLrco,@天安门_1찍총살,마지막은 도라에몽이 주머니에서 물건꺼내서 찍은거임,0,2025-08-05 10:21:13+00:00,0
UgyeqlYOyJEhg2Q_2Q94AaABAg,UaAXpiTLrco,@니체의똥환생,그림자 못났는데,0,2025-08-04 18:19:40+00:00,0
UgzW0LrBj6te8vSUwXx4AaABAg,UaAXpiTLrco,@삼백위키,*D'oh*,0,2025-08-04 07:48:22+00:00,0
UgyZS85UXEhK0iQZ4gd4AaABAg,UaAXpiTLrco,@성이름-h5k5k,마지막은 진짜 뭐냐?,1,2025-08-03 22:00:39+00:00,0
UgxRhYC9YusY7NO76Dd4AaABAg,UaAXpiTLrco,@Kim-l9p2h,처음에...미키미 유아?,0,2025-08-03 21:28:28+00:00,0
UgxkBXGuimDvDIUzdjt4AaABAg,UaAXpiTLrco,@jaehyeoklee9981,그림자 = 실루엣. 예쁜사람 = 예쁜 실루엣,0,2025-08-03 18:39:11+00:00,0
Ugz_OCvdPutj1lmjG894AaABAg,UaAXpiTLrco,@아이릭-l1z,"강동원은 실물이 진짜 개미쳤음

얼굴이야 당연히 엄청난데

팔다리 겁나 길고 손가락마저 이쁨 

음색도 좋아서 가수했어도 대성했을거임",0,2025-08-03 17:34:07+00:00,0
UgzRoogaL_sCW61XdB94AaABAg,UaAXpiTLrco,@patentshin,강동원 그게 등이면 거북목아니냐 ㅋㅋ,0,2025-08-03 15:56:54+00:00,0
Ugx0ziizU6B4gArCRit4AaABAg,UaAXpiTLrco,@CHLee-dm1kg,양세천은 합성이지ㅠ무슨 모기도 아니고 아구지가 저따구로 튀나옴,1,2025-08-03 10:44:58+00:00,0
UgxqqTbgFZQKlw9EA7F4AaABAg,UaAXpiTLrco,@tonyseo3384,마지막 도라에몽은 진구가 찍어줬겠지뭐~ ㅋㅋㅋ,1,2025-08-03 08:09:36+00:00,0
Ugx_TdRG0lPO8tjVAS14AaABAg,UaAXpiTLrco,@24-7together,뷔 미쳤네 ㅋㅋㅋ,0,2025-08-03 07:04:41+00:00,0
Ugw1I21osKBebiiLjnF4AaABAg,UaAXpiTLrco,@ChoBBuRi,아 뷔 박진영인줄 알았는데 ㄲㅂ,0,2025-08-03 06:26:07+00:00,0
UgwQthD1eW_SMGNXw-J4AaABAg,UaAXpiTLrco,@user-hi228,호모심슨 십ㄴㅋㅋㅋㅋ,0,2025-08-03 06:05:20+00:00,0
UgzjIei7AJ5qU_NVkEp4AaABAg,UaAXpiTLrco,@호롤롤롤로-A,여아이돌들 옆모습 보고 확깬 애들 몇있음,0,2025-08-03 04:53:16+00:00,0
UgxYNdvQdQoEuu5iBuZ4AaABAg,UaAXpiTLrco,@slayersp771,입에 물고 그걸 몰러 ?,0,2025-08-02 20:54:39+00:00,0
UgzaZ5DqEQ6pQ4SRyx14AaABAg,UaAXpiTLrco,@raphaeljeong,뷔는 왜 전한길 같냐 ㅋㅋㅋㅋㅋ,0,2025-08-02 16:52:52+00:00,0
UgzYxBY2zdUVTuXsUGd4AaABAg,UaAXpiTLrco,@김배디,마지막은 심슨아니냐 ㄷㄷ,0,2025-08-01 08:50:05+00:00,0
