comment_id,video_id,author,text,like_count,published_at,reply_count
UgyRHNM6bvZRm7dXPAR4AaABAg,V3guvMpNgfI,@뜌기,😀😀😀,0,2025-08-05 13:40:09+00:00,0
UgwAxjO78u09e1pPC3B4AaABAg,V3guvMpNgfI,@뷁붥봛돐댨,"뜬금 TMI 입니다만 인천에 롯데리아 매장이 있는데 거이 30년가까이 된것 같은데 안망하고 그 자리에 있네요.
역세권 롯리도 문닫은곳 많다고 들었는데 그자리 그대로 있는게 신기해서 뜬금 글 올려봐요..
문제시 자삭 하겠습니다.",0,2025-08-03 17:54:46+00:00,0
UgzMfmKI841VEVA1t1h4AaABAg,V3guvMpNgfI,@고래-c3e,신메뉴로 오이버거 출시했으면... 존맛탱,0,2025-08-03 14:24:22+00:00,0
UgyXqeoJ2iW0QkkIm-p4AaABAg,V3guvMpNgfI,@heartafire82,롯데리아는 그냥 더블한우버거...,0,2025-08-01 23:19:32+00:00,0
UgzlUe2B1jUrEIdog_N4AaABAg,V3guvMpNgfI,@윤창현-l1x,"오늘 금휘님 영상 보고
롯데리아 왔습니다..ㅡ3ㅡ
(전 그냥 블고기버거세트+ 데리버거😖👍)",0,2025-07-31 09:15:54+00:00,0
UgxNCxeKBuJ_pmeIVQF4AaABAg,V3guvMpNgfI,@Blackame,"롯데리아의 무한도전은 계속된다~~!!

아무거나 닥치는 대로~ 하나라도 성공할 때까지~!!!

그들의 도전은 계속됩니다. 쭈우우우욱~~~~~!!!!!!",3,2025-07-30 14:11:54+00:00,0
Ugw1tfZsSsoyTZQ7Mdh4AaABAg,V3guvMpNgfI,@ssulnana,혹시 쌍수 푼거 지금근 어떠세여 복구됐나요?,0,2025-07-30 05:32:44+00:00,0
UgwAew3mp3jz6FH3WYJ4AaABAg,V3guvMpNgfI,@hyunwoolee5053,"금씨가 먹은게 유독 김치가 적어보이긴 하네
점바점인가보오",0,2025-07-29 16:17:42+00:00,0
UgwqFkdicMz9FRBioS54AaABAg,V3guvMpNgfI,@sukwjj,"금휘=롯데리아

공통점 괜찮은데 이상해",0,2025-07-28 17:41:03+00:00,0
UgylbSJuAeVyV4dFFjt4AaABAg,V3guvMpNgfI,@t.t-j5m,롯데리아는 신메뉴 백김치 불고기 버거로 했어야 했어 아삭한 식감 목표로 하면 찾을지도?,0,2025-07-28 14:12:27+00:00,0
UgxqsZcUKWWRt_k_gYd4AaABAg,V3guvMpNgfI,@상어지방이,에구 이뻐!!!!!!!!!!,0,2025-07-28 04:09:34+00:00,0
Ugyv1fWSS7D3aOTC7Ep4AaABAg,V3guvMpNgfI,@light_steps,김치버거는 굳~~~~이 왜 먹어야 할지 모르겠고 쥐포튀김은 개맛있음 그 청양마요 소스랑 같이 먹으면 ㄹㅇ 맛도리,4,2025-07-27 17:04:54+00:00,0
Ugwsz4_wKaOnU0HM53l4AaABAg,V3guvMpNgfI,@블루-k2w,금휘 너무 이쁘다 예뻐 귀여워 ❤❤,1,2025-07-27 08:14:23+00:00,0
UgxRx0zlO_aNsUNwnVd4AaABAg,V3guvMpNgfI,@cheoljaejeon6487,점바점이 버거에도 있다는 사실을 알고나서는 일부러 지역별로 먹어보고 선택하게됨.,0,2025-07-27 07:25:00+00:00,0
Ugxg50CAo3t0zyCjQph4AaABAg,V3guvMpNgfI,@너무덥다-b4y,그미가 먹으면 햄버거가 커보이네,0,2025-07-27 01:08:26+00:00,0
UgyBMu0epVGzZdwzWyp4AaABAg,V3guvMpNgfI,@바사삭바삭-y3s,먹는거 되게 햄스터같이잘먹넹,0,2025-07-26 22:14:56+00:00,0
Ugzb0kj81RBjB0YLenJ4AaABAg,V3guvMpNgfI,@real928,신메뉴는 모르겠고 걍 쥐포튀김이나 술이랑 먹으면 되겠네요. 역시 사이드 맛집 롯데리아,0,2025-07-26 16:16:44+00:00,0
UgyIgbpK8ayzXPaBYnJ4AaABAg,V3guvMpNgfI,@Chanukun_E_yo,뭔가 애기 진돗개 보는 느낌이야,0,2025-07-26 14:45:09+00:00,0
Ugyf1HeeipIYH5cR7UV4AaABAg,V3guvMpNgfI,@신민규-g7s,쥐포는 존맛이징,0,2025-07-26 12:45:59+00:00,0
UgzEujDw8h1EQeWph2d4AaABAg,V3guvMpNgfI,@이니띵,흑백리뷰 그미편,0,2025-07-26 12:09:46+00:00,0
