comment_id,video_id,author,text,like_count,published_at,reply_count
UgwvBqzLO7zmjZ6I3394AaABAg,WZ_UtwP0onA,@gh-bm3nz,간식드시고 하시라고 버섯들어간 요리라도 드렸다간 집 부셔질거 같네요 ㅋㅋㅋ,0,2025-08-16 04:30:11+00:00,0
UgyMsTAXK3BR2v3IpnF4AaABAg,WZ_UtwP0onA,@JallyCookie,어떻게 웃음소리가 3단고음 ㅋㅋㅋㅋㅋ,0,2025-08-15 11:31:53+00:00,0
UgzDq9FghAczYPb5_0Z4AaABAg,WZ_UtwP0onA,@R_king733,배관공으로 전직했노 ㅋㅋㅋㅋㅋ,0,2025-08-14 04:09:08+00:00,0
UgxSfev3Wi3oqyhUYpN4AaABAg,WZ_UtwP0onA,@user-kl7sh7nw4m,저게 표준이니까 게임에도 그렇게 그린게 아닐까?,0,2025-08-12 15:37:34+00:00,0
UgzFOzTyfcFleOzMKVd4AaABAg,WZ_UtwP0onA,@배승현-y7f,페이는 버섯으로,0,2025-08-11 11:00:20+00:00,0
UgzHSgW-wmbvRXupFnp4AaABAg,WZ_UtwP0onA,@popt8483,노란색 빨강색이었으면 바로 걸렀다,0,2025-08-11 04:45:34+00:00,0
UgzoHzZ_i8Rb32DeGVt4AaABAg,WZ_UtwP0onA,@user-ie9nd3ht4w,아니 금휘님 저렇게 예쁜데 남친이 없다는게 ㄷㄷ,0,2025-08-11 00:24:00+00:00,1
Ugx9ySptqCb6Lqo5YWF4AaABAg,WZ_UtwP0onA,@Bastiyou,그치..ㅋㅋㅋㅋㅋ.   슈퍼마리오 브라더스가 배관공파티가 맞지ㅋㅋㅋ,1,2025-08-10 21:25:42+00:00,0
UgxM6EvqoMo5vKt_-lZ4AaABAg,WZ_UtwP0onA,@김명중-n8c,"배관에 빠지고 배관에서 나오는 꽃에 죽을 거 같겠죠?
배관공이 아니라",0,2025-08-10 20:57:43+00:00,0
UgyEFf_NgjlS1duIj3Z4AaABAg,WZ_UtwP0onA,@상남자-b8y,웃는거 시원시원하누,0,2025-08-10 13:52:39+00:00,0
UgwoTeUCJDWExZ4yQkp4AaABAg,WZ_UtwP0onA,@아멜,실제 영환데 ㅋㅋㅋ,0,2025-08-10 13:27:09+00:00,0
UgwGile5E3GTxZNQfXZ4AaABAg,WZ_UtwP0onA,@Whatishandle95,"배관 수리 고인물 맞음?
다 때려부술거 같은데..?",0,2025-08-10 12:42:11+00:00,0
Ugz1uTjMn8JTM1L_Cr54AaABAg,WZ_UtwP0onA,@박하-w3q,웃겨서 지인한테 업체추천도 할 듯ㅋㅋ,0,2025-08-10 11:41:33+00:00,0
UgzEkESabNQxz5Rr1bd4AaABAg,WZ_UtwP0onA,@김승철-v6d,전에 티비서 미국인가 어느나란지 배관인지 인테리언지 공사해달라 업체에 전화하면 존잘몸짱 인부가 와서 누드로 일해준다는 업체가 있다고 티비에서 나온적있었지😅,0,2025-08-10 11:24:11+00:00,0
Ugw6UJpaNPzfpTsk8HV4AaABAg,WZ_UtwP0onA,@Junwoo76,마리오 루이지~!같다,0,2025-08-10 10:53:20+00:00,0
Ugxaoo9LO6yH6Uf0r0J4AaABAg,WZ_UtwP0onA,@HT_TW,버섯! 버섯! 버섯!,0,2025-08-10 10:19:54+00:00,0
UgxyZj7QnSNsNPVskT54AaABAg,WZ_UtwP0onA,@락잉-x1c,머가 웃기지?,0,2025-08-10 10:11:16+00:00,0
UgyHE2k3tagGyW_bUUx4AaABAg,WZ_UtwP0onA,@Hodu11811,"""히얼 위 고!""
""얏후!""",0,2025-08-10 10:01:16+00:00,0
UgyS6eeksuLkhYZqy6d4AaABAg,WZ_UtwP0onA,@cocktail-V,BGM 이 들리는 것 같아,0,2025-08-10 09:31:09+00:00,0
Ugy02LfhZDfvwIHZ-dZ4AaABAg,WZ_UtwP0onA,@highstep7518,잇츠미↗ 마↗리↘오!!,0,2025-08-10 09:21:32+00:00,0
UgzJGEZ6n9nq1brTXjh4AaABAg,WZ_UtwP0onA,@3hldqaGmZ1PQWjdCMMoGGg,"아니 저 사람들이 출동했단 건
저 집 밑에 쿠파 왕국이...?",0,2025-08-10 09:14:40+00:00,0
UgxMN4sdOszM2doc95p4AaABAg,WZ_UtwP0onA,@Ssod119,금사장..웃는게 너무예뻐..,4,2025-08-10 08:36:34+00:00,0
Ugy4Fvm0KliwnxLLJ3N4AaABAg,WZ_UtwP0onA,@고로디2,저 친구들 왠지 국밥을 굉장히 싫어할 것 같군요,0,2025-08-10 08:29:16+00:00,0
UgyLG7o5oCeM1T_JVyJ4AaABAg,WZ_UtwP0onA,@sherlockk1924,공주 구하러 가야한다고 말하고 배관속으로 들어가버릴 것 처럼 생기셨네 ㅋㅋㅋㅋㅋ,0,2025-08-10 08:01:47+00:00,0
UgyWUrvcs4lD5NckO6p4AaABAg,WZ_UtwP0onA,@Angelicdiablo2004,😂😂😂😂😂,0,2025-08-10 07:19:10+00:00,0
UgyuFxl1E0dCPh4hqq54AaABAg,WZ_UtwP0onA,@천조누설,세컨잡으로 애들 생일 파티에 불려 다닐듯.,0,2025-08-10 07:17:15+00:00,0
UgwbezyQQO_UOFO3G2J4AaABAg,WZ_UtwP0onA,@a3nka78a,배관공에 빠져 죽는게 아니라 배관에 빠져 죽는겁니다.,0,2025-08-10 06:33:52+00:00,0
UgzFVDmjETMh3lWjqfd4AaABAg,WZ_UtwP0onA,@bs3942,귀엽다ㅋㅋㅋ,0,2025-08-10 06:26:10+00:00,0
UgwWTBdiAxC88YDJ-Ll4AaABAg,WZ_UtwP0onA,@j.wbmwgst-max,배관공 연봉 억이 그냥 넘음 대한민국에서 설비쪽은 연에 억벌기 빡세고 설비 라고 하지만 배관공사만 하는게 아니고 별걸 다 함  근데 미국에서의 배관공 보다 못한 대접 받음 심지어 우리집 정화조 배관 라인을 시청 공무원 도면보는 직워누보다 더 잘 알고 있음 시청 직원이 도면을 읽을줄 모르는 사람이 그 자리에 있는게 신기 했음 ㅡㅡ,1,2025-08-10 06:14:55+00:00,0
UgxHuNKCx9EEAybvL1h4AaABAg,WZ_UtwP0onA,@dsfpp,배관문제보단 납치사건을 해결해 줄거 같네,0,2025-08-10 06:08:34+00:00,0
Ugy5FtjMMbimJ0ZARJJ4AaABAg,WZ_UtwP0onA,@asmilano3423,내 직업이 배관공이명 한번쯤은 저러고 다녀보고싶으데ㅋㅋㅋ,0,2025-08-10 05:48:08+00:00,0
UgzR8NUOHJx09A6VMr54AaABAg,WZ_UtwP0onA,@heedos06,웃음소리 진짜 호탕하시네ㅋㅋㅋㅋㅋㅋ,8,2025-08-10 05:43:32+00:00,0
UgysiNF7oD9cBjf1Ur14AaABAg,WZ_UtwP0onA,@뜨쳐-f8q,패트와 매트 아닌게 어디야 ㅋㅋㅋ,5,2025-08-10 05:39:25+00:00,0
UgyOfMq8mb2M3pUHWEh4AaABAg,WZ_UtwP0onA,@전창민-b3q,왜요.,0,2025-08-10 05:29:06+00:00,0
Ugz1Mlo1NPmcNBedgot4AaABAg,WZ_UtwP0onA,@Ace1105-q2c,무표정일때랑 웃을떄랑 사람 분위기가 너무 다르네요 갭이 엄청커;;,0,2025-08-10 05:02:18+00:00,0
