comment_id,video_id,author,text,like_count,published_at,reply_count
UgyVyKgUN6F8u7o6qUJ4AaABAg,c60V8bSTBj0,@sibal8868,10:23ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-09-02 20:50:00+00:00,0
Ugy2_4BaPZThj82mRgF4AaABAg,c60V8bSTBj0,@BUNGKOOKI,어.... 유튜브만 봤는데 왜 귀에서 피가 나고있지?!,0,2025-09-02 06:25:37+00:00,0
UgxxyDaflf1JbyMocIB4AaABAg,c60V8bSTBj0,@오땅-n7y,우마이!! 겁나 우마이!!,0,2025-09-01 13:54:40+00:00,0
UgwNCOTeysP3h1Cr1JV4AaABAg,c60V8bSTBj0,@TopGanzi,이정도면 똥쌋을거 같은데,0,2025-08-31 16:00:44+00:00,0
UgzwNMkoLF7lNUHA8q54AaABAg,c60V8bSTBj0,@Acsojin,"어우 혐짤 썸네일 테러당하고 구취드립니다.

극혐",0,2025-08-31 00:12:58+00:00,0
UgyMO6BZXwciIqNdg_d4AaABAg,c60V8bSTBj0,@푸린-c5o,이런 게임 더 해주세요 이쁜아가씨~ 뭐라하지마 뭐라하지마 귀엽네 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-08-30 17:26:50+00:00,0
Ugy0qLFCle82MhJD-HJ4AaABAg,c60V8bSTBj0,@뜌기,😄😄😄,0,2025-08-28 16:11:12+00:00,0
UgwWQxvJ5ctsN18rWB94AaABAg,c60V8bSTBj0,@너굴너굴-p1t,ㅋㅋㅋ너무귀여운 금사장!!!,1,2025-08-28 14:21:08+00:00,0
UgzTHQpblPWOGDcTmTJ4AaABAg,c60V8bSTBj0,@HaksunJeon,진짜 ㅈㄴ웃겨서 구독눌렀다 ㅋㅋㅋㅋ,0,2025-08-26 15:41:10+00:00,0
UgxOjaNIRep1Ak3vyVx4AaABAg,c60V8bSTBj0,@이름없음-s4k,누님 윤시원씨랑 같이 폐가 탐험 하는 거 보고 싶습니다ㅋㅋㅋㅋㅋㅋ,0,2025-08-26 06:52:00+00:00,0
UgxQQReEMCa9BUWtcbJ4AaABAg,c60V8bSTBj0,@bulletculb-c7r,묵은지도 버려야되노?ㅋㅋ,0,2025-08-25 05:38:45+00:00,0
UgxAg4qqu1d9GRrMqRp4AaABAg,c60V8bSTBj0,@에임스레기,공겜 맛집이었네...,0,2025-08-24 13:35:21+00:00,0
UgxDgqbGwkYiPOYyBKV4AaABAg,c60V8bSTBj0,@바사삭바삭-y3s,반응 존나웃기네ㅋㅋㅋㄱ,0,2025-08-24 06:31:56+00:00,0
UgwD3k9832fLSKZVbit4AaABAg,c60V8bSTBj0,@동호-b6x,역시 찐으로 공포를 무서워하는 건 금휘짱이지 ㅋㅋㅋㅋ귀엽고 사랑스런 금휘짱 너무 쫗앙~♥,0,2025-08-23 20:27:48+00:00,0
UgyrOrQx3tNzWOY2gpl4AaABAg,c60V8bSTBj0,@Lee-qd4my,ㅋㅋㅋㅋㅋㅋㅋㅋ😂😂😂😂😂😂😂😂넘나 레전드,0,2025-08-23 08:40:52+00:00,0
UgyscRU7nsLmTqfvRWF4AaABAg,c60V8bSTBj0,@whaleKingBlue,금휘 예뻐!,0,2025-08-23 04:53:34+00:00,0
UgwfPai_Sg0JkVj5bmt4AaABAg,c60V8bSTBj0,@alipede_12,아 진짜 졸라 맛있게 놀라네 개귀엽다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-08-23 03:47:45+00:00,0
UgzQwS81zcQPlhFOVs14AaABAg,c60V8bSTBj0,@user-rq5lo8pe4d,똘튜즈 보고 왔는데 반응 맛있어요!,0,2025-08-22 16:37:45+00:00,0
Ugx15GrcIqZA3crEdkh4AaABAg,c60V8bSTBj0,@순결한비델쨩,"사투리 쓰는거 너무 귀여운데.
나만 그런가? ㅋㅋ",0,2025-08-22 13:37:47+00:00,0
UgwVML4Y6No7Yvqi8vR4AaABAg,c60V8bSTBj0,@디원-x5j,아 ㅈㄴ 재밌네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,2025-08-22 12:48:20+00:00,0
UgxETrVHxPPcXoLDVFd4AaABAg,c60V8bSTBj0,@너무덥다-b4y,금휘 공포겜 맛돌이네,0,2025-08-22 11:36:05+00:00,0
Ugyj_8DHEFkQLahTwut4AaABAg,c60V8bSTBj0,@카게노키츠네,진짜 ..이쁘다 그냥 ..,0,2025-08-22 11:08:00+00:00,0
UgzT2zYut8Kq5Ox5Mnl4AaABAg,c60V8bSTBj0,@알트세계최초신화,뽀구미 특별출연했는줄,0,2025-08-22 03:22:46+00:00,0
Ugzt7fUiX1fa8R8lmLZ4AaABAg,c60V8bSTBj0,@DDakbal_candy,신들린건가요????,0,2025-08-21 17:35:30+00:00,0
Ugw-8Wl6CYUOF5Md1kh4AaABAg,c60V8bSTBj0,@렛서-o3c,어우 맛있어,0,2025-08-21 17:05:07+00:00,0
UgyPvBSEpVYCOZIzzux4AaABAg,c60V8bSTBj0,@babodogoon,01:38 와 진짜 육성으로 똑같이 놀랬다,12,2025-08-21 16:16:18+00:00,0
UgwkiUCdg_2xO3qKHJR4AaABAg,c60V8bSTBj0,@KyungHo777,보는 우리가 정신 나갈것 같아요. 정신없어요. 금사장 소리지르는거에 고막 터지는줄 알았네. ㅠ.ㅠ,0,2025-08-21 11:14:52+00:00,0
UgwCA7fmO94p3fx6h9R4AaABAg,c60V8bSTBj0,@o0____0o,진심으로 각쪼개기 잘하시는데요..?,0,2025-08-21 07:09:53+00:00,0
Ugzyy8aM5FPX1Ej9XBR4AaABAg,c60V8bSTBj0,@츄배릎-n9b,금휘는 귀엽네요.,0,2025-08-21 05:27:43+00:00,0
UgyaQEARvzG3Il4kmP94AaABAg,c60V8bSTBj0,@A2M-N2Z,내가 진짜 피해자라면 온전히 기억을 하고 있을 때 복수를 하지 저렇게 약으로 뇌를 갉아먹어 횡설수설하는 상태에 복수하진 않을 것 같음,0,2025-08-21 05:22:47+00:00,0
Ugyxpp90X8wXeEMmpyJ4AaABAg,c60V8bSTBj0,@dopamineTV-i4l,금휘님이랑 뽀구미 콜라보 영상이네,2,2025-08-21 03:56:13+00:00,0
