comment_id,video_id,author,text,like_count,published_at,reply_count
Ugyr_BY8OcgI0uyUa5x4AaABAg,erwP1zg_pEs,@로판-g8m,초파리 잡다가 상 한번 엎어주나 기대했네ㅋㅋㅋㅋ,0,2025-08-31 13:53:45+00:00,0
Ugxticb2XsyMLBzQ3P54AaABAg,erwP1zg_pEs,@Music.5kk3zp4k,좋아요가월케많지.?,0,2025-08-28 16:15:18+00:00,0
Ugzgw-yCXce0Rf-W-aR4AaABAg,erwP1zg_pEs,@은냐-i8r,잡아야지~~ 몾잡겠지~,0,2025-08-28 12:03:20+00:00,0
UgzmTJUpjHSbDkXaxSh4AaABAg,erwP1zg_pEs,@백인승-n6l,귀여워,0,2025-08-28 05:40:14+00:00,0
Ugxn2PC00OkvmZ1-MwR4AaABAg,erwP1zg_pEs,@남루카-j2r,아아아 하는 표정 너무 귀여운데요ㅋㅋㅋ자연스럽게 아빠미소ㅋㅋㅋ,1,2025-08-27 06:52:00+00:00,0
Ugyks-U35vBWFjhkzW94AaABAg,erwP1zg_pEs,@NORNg896,"내 주변 떠났던 전 남친 전 여친을 바라보는
눈 보다 초파리가 더 아련해보임ㅋㅋㅋ",0,2025-08-27 05:48:55+00:00,0
UgygROQvkvQxnDM02154AaABAg,erwP1zg_pEs,@sl1648,무슨 보물상자 놓친거처럼 아쉬워 하네.. ㅡㅡ;;,0,2025-08-26 17:09:21+00:00,0
UgyDCv-Cuw_6IWjX5nV4AaABAg,erwP1zg_pEs,@고란니,"생긴거랑 다르게 이분은 벌레를 휴지가 아니라 맨손으로 잡네요, 안 무섭나?",0,2025-08-26 08:20:48+00:00,0
Ugyscxs8Qx118Gsi7SB4AaABAg,erwP1zg_pEs,@gyindustry,아… 아쉬우어어어라아,0,2025-08-26 08:13:45+00:00,0
UgyWrD__Y0KOQIqXem54AaABAg,erwP1zg_pEs,@hgpllile6053,"그거 아십니까 초파리 한 마리가 방에서 자꾸 보인다? 최소 5마리가 있는 겁니다 명심하세요 

초파리는 절대 단일 행동으로 살아가지 않습니다 집단 무리를 이루며 짝이 있을 확률이 99.99%입니다

그럼 20000",0,2025-08-26 06:55:48+00:00,0
Ugwz2OGbZ758FXUwIpR4AaABAg,erwP1zg_pEs,@prococonut,"날파리 : 파리를 제외한 파리처럼 보이는 작은 날벌레들의 총칭. 
하루살이도 날파리라고 부를수 있음.",0,2025-08-26 03:08:21+00:00,0
UgxUJx3NcUEk7LZ0rgV4AaABAg,erwP1zg_pEs,@양진섭-c9z,표정 맛집😂...,2,2025-08-26 01:56:21+00:00,0
UgzXgYWcmC9kAkT8gqJ4AaABAg,erwP1zg_pEs,@김정래-p3n,초파리를 그렇게 아련하게 보시면.....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-08-25 06:15:19+00:00,0
UgwO2z6WTu2Xa2TjUop4AaABAg,erwP1zg_pEs,@재드래곤1,파리 놓친것보다 앞으로 쏟을까봐 불안했다면 개추!!😊😅,0,2025-08-25 05:16:49+00:00,0
UgyqrFQ49Cgbiq8KRrZ4AaABAg,erwP1zg_pEs,@eung-ae12345,표정ㅋㅋㅋ 귀엽노,0,2025-08-24 16:04:08+00:00,0
UgzAGmQO6Z9bL11h5Xl4AaABAg,erwP1zg_pEs,@쩌라,애는착혀...,0,2025-08-24 08:44:18+00:00,0
Ugyk_ue9z_f9mTokqR14AaABAg,erwP1zg_pEs,@회천-g2h,벌레도 잡는 여자라니.,0,2025-08-24 06:18:42+00:00,0
UgyU3FNyMfei0YTsI1V4AaABAg,erwP1zg_pEs,@성이름-d7e2e,댕청미 ㅋㅋㅋㅋ 진짜 시집 다 갔다 ㅋㅋㅋㅋㅋ,0,2025-08-24 04:01:32+00:00,0
Ugzsh8rf0HdnXS87_Ux4AaABAg,erwP1zg_pEs,@벤츠로바꾸자,"싱크대 배수구,화장실 배수구 청소만 잘해도 초파리 안생깁니다..초파리는 배수구에서 생성됩니다.",0,2025-08-23 23:23:43+00:00,0
UgyivkXslzVJKCTFOpB4AaABAg,erwP1zg_pEs,@Lavigne90,애는 착해,0,2025-08-23 12:58:21+00:00,0
Ugwseus_fkssig8WjhR4AaABAg,erwP1zg_pEs,@탱구-f9f,마치 놓치고 싶지 않은 사람 보내는 듯한 아련한 표정이 ㅋㅋㅋㅋㅋ,0,2025-08-23 10:19:09+00:00,0
UgyFDL4HrfENu6YqrZ54AaABAg,erwP1zg_pEs,@보통하루-u4x,김치 위치가 너무 불안하네,0,2025-08-23 05:56:49+00:00,0
UgyUs5R1R_PQl2PPgeV4AaABAg,erwP1zg_pEs,@강문규-o2n,유재석: 아~~~아쉬워라,0,2025-08-23 03:46:10+00:00,0
Ugz0_ssToKgsVoS6_ax4AaABAg,erwP1zg_pEs,@eotmd1456,손톱 무섭다,0,2025-08-22 22:32:03+00:00,0
UgzWmVHr7FedYf0Nbl54AaABAg,erwP1zg_pEs,@runlikehell4642,그래... 애는 착해... 초파리는 내가 잡으면 되니까... 대파 돌리는 것보다는 낫지...,0,2025-08-22 21:04:11+00:00,0
Ugz37YAhsD0mCD9xlz54AaABAg,erwP1zg_pEs,@므드스,무도 아쉬워라 짤 생각나네ㅋㅋㅋ,0,2025-08-22 20:30:24+00:00,0
UgwtDutTd9xGCwznXbF4AaABAg,erwP1zg_pEs,@박경진-s6g,아깝다 저 국물 속으로 들어갔으면 100점인데ㅋㅋ,0,2025-08-22 18:26:44+00:00,0
Ugw7ZNYnUENwvyk8BgZ4AaABAg,erwP1zg_pEs,@Decibel_The_GOM,책상을 쳤을때 국물이 튀었어야 완벽한 결말이었을텐데 😂,0,2025-08-22 16:27:01+00:00,0
