comment_id,video_id,author,text,like_count,published_at,reply_count
UgyNG14HKLGSfIq9xrl4AaABAg,gBfC1_Mt4mg,@고양이아빠-k4u,"ㅋㅋㅋ 근데 되게 잘 받쳐 주신다 ㅋㅋㅋ
저 고삐풀린 망나니를 ㅋㅋ",1,2025-08-29 06:50:18+00:00,0
UgxcqE0oMYKAYdFdfkl4AaABAg,gBfC1_Mt4mg,@sinnadrafrank2191,침착맨은 진짜 순수체급이 다름....,2,2025-08-26 20:13:31+00:00,0
UgzgOArXHszPfM54PSZ4AaABAg,gBfC1_Mt4mg,@kimjjingjjing,모야 이누나조예뻣네. 다들 우리. 병건이형한테는욕만하길래..오크들인줄알앗는데 다들이쁘시네.   욕해도 인정,0,2025-08-26 16:03:27+00:00,0
UgzaNpypcojUIkxuU9d4AaABAg,gBfC1_Mt4mg,@뜌기,😄😄😄,0,2025-08-26 12:27:31+00:00,0
UgwydRDrDMyt5IwbGJl4AaABAg,gBfC1_Mt4mg,@ONCE_NSWER,철면수심은 뭔 죄야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 평생 들을 이름 다 들었네,1,2025-08-24 15:58:00+00:00,0
Ugxq18dlgUL9H18iOzJ4AaABAg,gBfC1_Mt4mg,@고석주-x5v,게임 이름이 먼가요? 저도 해보고 싶어요!,0,2025-08-22 13:16:26+00:00,0
UgxBzoLKiyh7kiibrlF4AaABAg,gBfC1_Mt4mg,@ssunghoing,웃으실때 보이는 넓은 코평수가 이쁘시네요,0,2025-08-21 01:49:16+00:00,0
UgyQDCTKCONsV_Vsahp4AaABAg,gBfC1_Mt4mg,@나는-f4d,침착맨인지 몰라서 더꿀잼인듯 침착맨인지 알면 막대하기  힘들었을텐데ㅋㅋㅋㅋ,1,2025-08-16 06:22:33+00:00,0
Ugw-t1fEu7Knjxr3WKF4AaABAg,gBfC1_Mt4mg,@feelfine2776,같이 쓰는 무전 조용히 써주세요~~🙏,1,2025-08-16 00:09:39+00:00,0
Ugzaaqu3PT_FhODNK7d4AaABAg,gBfC1_Mt4mg,@hhmmmmmmmmhmm,악의가 없어서 더 무섭대 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-08-15 11:33:13+00:00,0
