comment_id,video_id,author,text,like_count,published_at,reply_count
Ugw2xk9-0hZX-WGZC8Z4AaABAg,guROT61LitI,@쿠우-r6l,말을 들으면 위험하다 생각들지만 솔직히 궁금하긴 함 ㅋㅋㅋ,0,2025-09-01 14:51:51+00:00,0
Ugzl67dxJyTgJ-diImp4AaABAg,guROT61LitI,@jayj9850,"어머니 멘탈도 보통은 아니고,
동생분 장난끼도 상당해보임",0,2025-08-29 03:31:57+00:00,0
UgwttDuuIK9fCQEHS6R4AaABAg,guROT61LitI,@노란색파랑,어깨가 안튼튼했던거네,0,2025-08-28 13:38:05+00:00,0
UgzGz-slmQZEKKLpmk94AaABAg,guROT61LitI,@Master_181,뭐야 남성들의 평범한 일상이네,0,2025-08-28 13:14:58+00:00,0
UgzrbIOpq8q_G6JCZv54AaABAg,guROT61LitI,@익현-f1g,예스 마이로드 ㅋㅋㅋㅋㅋㅋㅋ,0,2025-08-19 02:17:20+00:00,0
UgxPgLy0U62ErGqSZNN4AaABAg,guROT61LitI,@덕준-t1g,하지만 안죽었죠?,0,2025-08-15 03:39:31+00:00,0
UgzaeM8l3me8Qpuz-TF4AaABAg,guROT61LitI,@녹즙기_99,이러니 무한도전이 종영하지 ㅋㅋㅋ,0,2025-08-15 03:38:24+00:00,0
UgwP74tj0qw7PLj17xZ4AaABAg,guROT61LitI,@너카-l5z,진지하게 4명이면 가능할듯,0,2025-08-14 09:27:35+00:00,0
Ugxi2ix4ptdWEGpeTDN4AaABAg,guROT61LitI,@jangbang1986,이거 결과 2명 어깨 뽑힌거보고 남은 2명이 어휴 ㅈ밥하면서 같은꼴당한거아니었음?,0,2025-08-13 03:05:08+00:00,0
Ugw_RI2xZoPRBLPdKIF4AaABAg,guROT61LitI,@yongseungjoo6152,살았죠?,0,2025-08-12 16:39:11+00:00,0
UgzjdgDRCsO0VpFEhJF4AaABAg,guROT61LitI,@하늘색고양이-y1l,청소기가 어깨보다 튼튼하다는 결론!,0,2025-08-12 10:29:51+00:00,0
UgwpFuPdZlThweHLNVp4AaABAg,guROT61LitI,@MoKo-o7o7t,자동차 엔진은 마력인데 말한마리 달리는거 막는것도 힘든데 다마스를 ㅋㅋㅋ,0,2025-08-12 06:45:09+00:00,0
UgzBwqwTX9yJgXn5m7d4AaABAg,guROT61LitI,@hjman-hjm,엄마도 진짜 읏긴게 큰아들 크게 다쳐가지고 응급실 가야하는 상황인데 작은아들한테 덤덤하게 아들~ 하면서 부르고 청소기 타고다니다가 다쳤다고 간단명료하게 설명해주는거 보니 ㅋㅋㅋㅋ,0,2025-08-09 11:57:08+00:00,0
UgzUCMXBv5VlrNEl5F54AaABAg,guROT61LitI,@광호위-e1j,부상을 두배로 늘리는 마법의 단어 : 쫄?,0,2025-08-06 10:56:25+00:00,0
UgxJ2abux4zTJImC7JN4AaABAg,guROT61LitI,@니오꿀꿀,낭만 치사량,0,2025-08-05 08:17:55+00:00,0
Ugwwysoo_ns8sQN-P_N4AaABAg,guROT61LitI,@스물서른마흔,어깨 뽑힌거면 청소기는 튼튼했나보다,0,2025-08-04 05:18:54+00:00,0
UgzyrZsjgjOti59Dgc54AaABAg,guROT61LitI,@wyflvhdqhwl,능지!!!,0,2025-08-03 00:18:47+00:00,0
Ugw9xVH0FB5vCFeB_gt4AaABAg,guROT61LitI,@순삭치킨-k9p,잭애스 신작나와서 에피소드 알려주는건 줄 알겠네 ㅋㅋㅋ,0,2025-08-02 05:04:17+00:00,0
UgyU-kDzcG2aQSSkl2x4AaABAg,guROT61LitI,@소중한-x4d,결론 청소기 튼튼함,0,2025-08-02 01:38:28+00:00,0
UgxDMchC9kymza3w5yJ4AaABAg,guROT61LitI,@snorlax724,돈은 많이 번다고함,0,2025-08-02 01:02:18+00:00,0
UgyyYAHe09MxCgrKOZd4AaABAg,guROT61LitI,@The-spice-lover,"아니, 청소기는 어케 됐냐고?",0,2025-08-01 22:48:12+00:00,0
UgzPbtuwY8_sUcFKSOB4AaABAg,guROT61LitI,@Melthol,이거 힘만 좋으면 타질거같은데 나도 한번 해보고싶다,0,2025-08-01 15:16:30+00:00,0
Ugx_YH06H81R44aoKpV4AaABAg,guROT61LitI,@자두-p4g,아니 그런걸 하는데 왜영상을 안찍냐고!!!!,0,2025-08-01 06:13:07+00:00,0
UgwHJb4Z-yQ4K_WRzpd4AaABAg,guROT61LitI,@성훈-k9m,남자는 철들면 안됨 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-08-01 02:49:32+00:00,0
UgxzbrgxmankGB2pMmh4AaABAg,guROT61LitI,@마구스99,"대답에서 부터 범상치 않음을 느낀다..

예스 마이로드...ㅋ",0,2025-08-01 02:04:09+00:00,0
UgyvuGo2Oq5CIioqDWt4AaABAg,guROT61LitI,@김준두더지_mole,같이 할사람,0,2025-07-31 23:27:20+00:00,0
