comment_id,video_id,author,text,like_count,published_at,reply_count
Ugy85LPCQpyIDc-lVNx4AaABAg,hD39BIQSbKM,@미스터-u3i,겨❤❤ 겨 보이는옷 자주입어줘용ㅎㅎ❤,1,2025-08-07 03:27:13+00:00,0
Ugy5AEFFBwzfK9Jag3h4AaABAg,hD39BIQSbKM,@veritas_lux_27,그...살쪘을땨 가슴은 가슴 아님... 부심 ㄴㄴ,1,2025-07-31 06:51:44+00:00,0
Ugzd6HTf2yQk8EGl5tF4AaABAg,hD39BIQSbKM,@광대만화,이뽀님 왜 점점 이뻐지시지,1,2025-07-31 04:23:24+00:00,0
Ugzjk8Sblh1HxKDvtXh4AaABAg,hD39BIQSbKM,@잡다한영상들-l9i,"가슴 작아도 상관 없음 그냥 금휘가 최고임
왜 가슴에 집착해!",0,2025-07-30 14:03:02+00:00,0
Ugz5fxlrhLZ6KWNW_VF4AaABAg,hD39BIQSbKM,@dolx20,손풍기 가져왔어?,0,2025-07-30 12:25:16+00:00,0
UgxSyUDylndNOxxrgAF4AaABAg,hD39BIQSbKM,@peshimerga827,ㅋㅋㅋㅋ 아련한 표정,0,2025-07-23 05:39:44+00:00,0
UgwgnatvKHW6ftKvhG54AaABAg,hD39BIQSbKM,@lovelyjooha,헉,0,2025-07-22 01:08:35+00:00,0
Ugw3NcOZD3tZgUARH0d4AaABAg,hD39BIQSbKM,@Akatora01,큰거는 진짜 아무 의미도 없음 큰게 뭐가 좋은지 몰겠네,0,2025-07-21 23:19:38+00:00,0
UgzI8_9BIgbslnd2RxN4AaABAg,hD39BIQSbKM,@연드,그래도 금휘님이 더이뻐,0,2025-07-21 14:21:18+00:00,0
UgxonQ6ceNQZN39OSJp4AaABAg,hD39BIQSbKM,@PsytranPyo,그미님은 외모가 이뿌잖아요,0,2025-07-20 10:41:41+00:00,0
Ugxu2PkJURAxi92CDQp4AaABAg,hD39BIQSbKM,@swimpyo-b4r,"칸교치기 존나 웃기다 ㅋㅋㅋ
칸 집나가면 민교 좀 쓸쓸할듯 ㅋㅋㅋ",1,2025-07-20 06:19:01+00:00,0
UgwKagiW3PBZ_SwUhM54AaABAg,hD39BIQSbKM,@차승우-i8g,아구이뽀님 다시 구독하러 갑니다,0,2025-07-20 03:29:17+00:00,0
Ugz-OsKeljC7UL_EBCR4AaABAg,hD39BIQSbKM,@korea0507x,난 이쪽,0,2025-07-18 07:51:57+00:00,0
UgzCpxrq3qGFUzzWN6V4AaABAg,hD39BIQSbKM,@량량이-y6l,괜찮아 이쁘니까 한잔해요,0,2025-07-18 07:16:01+00:00,0
Ugy-HfergZoe73TioLV4AaABAg,hD39BIQSbKM,@블루-k2w,금휘 너무 이쁘다 예뻐 귀여워 ❤❤❤,0,2025-07-18 03:54:23+00:00,0
Ugzc9_IsonVcx9_OAI94AaABAg,hD39BIQSbKM,@김양갱-d8i,신은 공평해 그미 이쁨,0,2025-07-17 10:08:30+00:00,0
Ugw3rGrdj8ND7D7u2K94AaABAg,hD39BIQSbKM,@lee30011,금사장도 이쁜데 왜......,0,2025-07-17 06:38:17+00:00,0
UgwlSANmTY7vp__3UrR4AaABAg,hD39BIQSbKM,@스폰지밥-b7t,없는사람의 눈물,0,2025-07-17 06:17:32+00:00,0
UgwUnzDxctqScrCnY8Z4AaABAg,hD39BIQSbKM,@악인공룡둘리,"??: (아련한 눈빛) ""내가 가지지 못한 것""
구독자 : 그래도 사람은 착하잖아 . 한잔해",0,2025-07-17 04:20:35+00:00,0
UgyMp3G2j4Qw8hLTvHh4AaABAg,hD39BIQSbKM,@coffeedreamer4778,"뭔가...BGM으로 드라마 추노 주제곡인 '낙인'이 흘러나와야만 할 것 같은 분위기;;;
그...금사장...기운내;;; ㅠ.ㅜ",0,2025-07-17 03:49:28+00:00,0
UgwWZDc4YwSIXlm89C14AaABAg,hD39BIQSbKM,@Tom-zu1st,부러워할게 없어...딱봐도 쟨 살쪘잖아,0,2025-07-16 22:02:50+00:00,0
Ugz0qx-anoMb5PfgOIR4AaABAg,hD39BIQSbKM,@daniel7047,"ㄱㅊㄱㅊ 그래도 'A'급이잖슴 원래 A가 좋은거임 ㅇㅇ A가 뜻하는 좋은 말이 얼마나 많음 성적A, 팀ace, 가장 높은 패인 스페이드 A



그리고 가장 작은 A.Cup ㅋ ㅋㅋ ㅋㅋㅋㅋ ㅋㅋ ㅋㅋㅋ",0,2025-07-16 19:33:56+00:00,0
Ugy1T-ywY7KPRfk7qOV4AaABAg,hD39BIQSbKM,@thingQu,???: 작은게 더 좋아..,0,2025-07-16 08:15:42+00:00,0
UgxtSweAaWohkoY4UqZ4AaABAg,hD39BIQSbKM,@Cham-Frank,아저씨....제발...,0,2025-07-16 07:04:41+00:00,0
Ugx5xervGPLY9XL2Jyh4AaABAg,hD39BIQSbKM,@에이휘,이분 여자라서 감옥안가는거 맞죠,0,2025-07-16 06:14:04+00:00,0
UgwFOEzitMg0qcgNVG54AaABAg,hD39BIQSbKM,@밍그망그,울지마요,1,2025-07-16 01:34:54+00:00,0
UgyF0DX8qOYZ5NrraYJ4AaABAg,hD39BIQSbKM,@은월랑-u2o,그래도 얼굴은 금휘님이 더 이쁨,1,2025-07-15 17:43:08+00:00,0
UgySoMzyMyql6nSKSAF4AaABAg,hD39BIQSbKM,@j.wbmwgst-max,빈유 여도 얼굴이 이쁘면 뭐 괜찮아 가슴 그거 없다고 여자가 남자 되는것도 아니고 뭐 얼굴만 보면 되는거지,0,2025-07-15 17:12:36+00:00,0
Ugy9tPzFqoP9KL6_quV4AaABAg,hD39BIQSbKM,@만렙토끼-g5w,2천원 감사합니다 ㅎㅎ 한잔해,1,2025-07-15 16:38:03+00:00,0
Ugwgz56MN-vTg_U7ydN4AaABAg,hD39BIQSbKM,@jpj0038,리액션과 눈빛이 완전 머스마넿~~닌 시집 몬간데이~~ㅎㅎ,3,2025-07-15 16:25:20+00:00,0
UgwKeoA3TA2UqmiDpcx4AaABAg,hD39BIQSbKM,@뇌정지왔쥬,저런 가슴 오히려 싫음 가슴이 큰게 아니라 턱살이 가슴까지 찐거임 가슴이라고도 생각 안함 한글자 단어로 연상됨 제발 눈에 안보이게 잘 좀 가려줬으면 좋겠음,0,2025-07-15 16:14:50+00:00,0
UgyFLUDb3F81UjlfXJV4AaABAg,hD39BIQSbKM,@한지원-n5d,대중소 한번에 예를 보여줬다..,1,2025-07-15 14:29:12+00:00,0
Ugw2XTLO_neOYScRcjZ4AaABAg,hD39BIQSbKM,@kjj9589,... 힘내...,1,2025-07-15 14:26:09+00:00,0
UgwaY81ILOA1QLV24E14AaABAg,hD39BIQSbKM,@xxxyh-z7w,금휘님의 매력은 누구도 따라오지 못하지😊,4,2025-07-15 14:18:03+00:00,0
UgxPKkQbFpy8sgPp2tR4AaABAg,hD39BIQSbKM,@아리타모,입은 웃고 있지만 눈은 울고 있어..ㅋ,11,2025-07-15 14:09:15+00:00,0
Ugz4DfF91TIWbFUOHSt4AaABAg,hD39BIQSbKM,@longhair_tattoo,괜찮아 금사장은 콧구멍이 매력적이야,7,2025-07-15 14:08:25+00:00,0
Ugxk9WJToETnEUYm0nZ4AaABAg,hD39BIQSbKM,@매매매매매매,진정한 빈부격차...,2,2025-07-15 12:51:41+00:00,0
UgzIKIT9gZC35BxHjVh4AaABAg,hD39BIQSbKM,@죽여서죄송합니다-o5o,근데 너는 아구이뽀랑 다르게 분내가 나잖아,1,2025-07-15 12:13:41+00:00,0
UgyvybzXJQUnou4eRdl4AaABAg,hD39BIQSbKM,@내가길이오,대신 튼튼하잖아,1,2025-07-15 11:46:35+00:00,0
UgzeucUPpTUUh4FpmRV4AaABAg,hD39BIQSbKM,@lim6510,원래 세상은 불공평함. 남에게 없는게 나에게 있어도 큰 만족감은 없는데 나에게 없는게 남에게 있을 때 상실감은 거대하지. 그래도 골반이 있으니,2,2025-07-15 11:08:06+00:00,0
Ugwq29rj7zL5MaSfkMZ4AaABAg,hD39BIQSbKM,@꺄리코,난 금사장이더이뻐❤,1,2025-07-15 10:10:45+00:00,0
UgxWqbpTS81HqO-YCtZ4AaABAg,hD39BIQSbKM,@Lucky_beaver,대신 이쁜 몸매랑 목소리시잖어~,1,2025-07-15 09:41:16+00:00,0
UgwEyTVCTZ_qop8vRXh4AaABAg,hD39BIQSbKM,@새록-v6z,금휘님은 요리 잘하잖슴,2,2025-07-15 09:27:52+00:00,0
UgyafBUfZJbBg2FzvZF4AaABAg,hD39BIQSbKM,@답설무흔,허슴 좋아하는 사람도 있습니다 좌절하지마세요,1,2025-07-15 09:22:31+00:00,0
Ugy_xOY29xJXGlvYRn94AaABAg,hD39BIQSbKM,@tlias,금휘님도 섹시함..♡,1,2025-07-15 08:47:24+00:00,0
UgxEj2MUr2vfMiYHH9B4AaABAg,hD39BIQSbKM,@Embarrassment97,사실 진짜 잘알들은 골반이긴해,6,2025-07-15 08:24:00+00:00,0
UgzG6QwLiIAHLWtYWip4AaABAg,hD39BIQSbKM,@wlsdud5197,부러워하지마 넌 최고야,1,2025-07-15 07:53:30+00:00,0
UgwbeAyLc2vv79KWgBR4AaABAg,hD39BIQSbKM,@Park-xm5db,그건 말라서 그런거지요 살찌면 옷이 모잘라짐 부러워할거 없어요 니가 훨 더이쁘니까...,2,2025-07-15 07:34:36+00:00,0
UgwK15ENfagkqjkf8gl4AaABAg,hD39BIQSbKM,@Hein_o,대신 이쁘잖아 금휘는..,0,2025-07-15 07:33:07+00:00,1
UgyAR_0UGKr3YuOyhtp4AaABAg,hD39BIQSbKM,@ssaktoong,혜선에이의 리얼 에이 허슴 디스랩 숏츠보니까 알고리즘이 바로 안내하네,1,2025-07-15 07:16:13+00:00,0
Ugz2w3yYfEOszg2XfWV4AaABAg,hD39BIQSbKM,@소심-l5b,금휘님 물구나무서면 헐렁하지않음 힘내세요😢,1,2025-07-15 06:32:14+00:00,0
UgznMtqPR_UTbAp_zAJ4AaABAg,hD39BIQSbKM,@포션이랑,얘는 착해..,1,2025-07-15 05:00:03+00:00,0
UgxcpYLdyERWamVcu6l4AaABAg,hD39BIQSbKM,@홍성희-j5o,"넋이  나간듯한  표정  뭐야  ??   
대신  착하니까  됐어  !!",17,2025-07-15 04:55:20+00:00,0
UgzbIuxPDalCUvzJ23t4AaABAg,hD39BIQSbKM,@jslee-s2z,뽀스 좋아,0,2025-07-15 04:31:48+00:00,0
Ugzz6cqQOSRHpQzwM8V4AaABAg,hD39BIQSbKM,@mayochamchi,기만당하는 금사장,1,2025-07-15 04:27:53+00:00,0
UgyLHSdjVOi4XEISQsV4AaABAg,hD39BIQSbKM,@IreumSeong-h5i,세상엔 육덕파보단 슬랜더파가 많음,1,2025-07-15 04:15:43+00:00,1
UgxAFGae50IS9b69PNV4AaABAg,hD39BIQSbKM,@개똥-v5w,난 오히려 좋아,1,2025-07-15 04:01:11+00:00,0
UgyW4b2qWzf2pcF65kR4AaABAg,hD39BIQSbKM,@현K,금사장은 금사장 자체로 매력덩어리인데,22,2025-07-15 03:57:30+00:00,0
Ugx6tHMZA9vdosL_rNl4AaABAg,hD39BIQSbKM,@lululu2899,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2025-07-15 03:57:23+00:00,0
UgwtPt9bQ4-_-5ipFUd4AaABAg,hD39BIQSbKM,@user-tv4rr1pz1e,오버핏메이커ㅜㅜ,1,2025-07-15 03:44:21+00:00,0
UgwYoVoOU7CNTZn0-aZ4AaABAg,hD39BIQSbKM,@CoCoZzan,금휘가 더 이쁘다!!!❤,1,2025-07-15 03:41:15+00:00,0
Ugy6bxrGgdm4zZrKv3N4AaABAg,hD39BIQSbKM,@ski4912,그런면에선 오히려 금휘님은 숙이면 위험하겠어요...,1,2025-07-15 03:40:37+00:00,0
UgxwNmgQakXy8L8fxzZ4AaABAg,hD39BIQSbKM,@이건희-c9z5i,ㄹㅇ 금휘님 허리골반라인 예술이심 b,2,2025-07-15 03:35:43+00:00,0
Ugxm_O7pprOW4pfSCox4AaABAg,hD39BIQSbKM,@Botte-q5d,부럽다 그미는 ㅋ,1,2025-07-15 03:34:37+00:00,0
UgxlVjBRMzGtFNiESyZ4AaABAg,hD39BIQSbKM,@gamjatuigim,타조인데,1,2025-07-15 03:27:10+00:00,0
UgzNbUe5qZbDZn7KEVJ4AaABAg,hD39BIQSbKM,@whyerano,사람마다 매력이 다른거져 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,41,2025-07-15 03:23:52+00:00,0
UgxaGNRAUSP8HWVZ5Ct4AaABAg,hD39BIQSbKM,@Gale_Sniper,대신 그미님은 슬렌더의 정석이라 불릴만한 탑티어급 허리골반라인을 가지고 있잖아요. 신이 모든 걸 다 주지는 않음ㅎ,282,2025-07-15 03:14:01+00:00,9
UgyR7Nc87jWYCX_J4Nt4AaABAg,hD39BIQSbKM,@권만혁-q3p,"아구이뽀님 개그+요리 방송인 줄 알았는데... 
 여캠이었네...^^;;;;",1,2025-07-15 03:12:29+00:00,0
UgwAzhpQc0aYwWfwvK14AaABAg,hD39BIQSbKM,@Chonny523,갑자기 아련해지고 촉촉해지는 금사장의 눈,80,2025-07-15 03:11:56+00:00,0
UgwUgE1-yhu-BHwW8LZ4AaABAg,hD39BIQSbKM,@SH-tm5vw,이 영상이 뽀스한테 날라가겠구먼 ㅋㅋㅋ,1,2025-07-15 03:10:34+00:00,0
Ugx_y3l17CT2R0cwNal4AaABAg,hD39BIQSbKM,@꼬도기,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2025-07-15 03:10:17+00:00,0
UgwFjTCApssM2T3Kf9Z4AaABAg,hD39BIQSbKM,@보리는써니꺼,보고나서 현타온거 웃기네 😂😊😊,9,2025-07-15 03:10:11+00:00,0
UgzQG42FnOmrkYiNi-l4AaABAg,hD39BIQSbKM,@coca_a,눈나가 더 이뻐,1,2025-07-15 03:09:24+00:00,0
Ugyr-FEiFg-ZdsXySe54AaABAg,hD39BIQSbKM,@mercury9736,아앗....😅😅,2,2025-07-15 03:08:06+00:00,0
Ugz8JQEKBI4IB1Q6Sc54AaABAg,hD39BIQSbKM,@wlsthf515,이거 그거 아니냐 종로에서 뺨맞고 한강에서 눈 흘긴다 인가 먼가하는 그거,1,2025-07-15 03:07:43+00:00,0
UgzA4Nf8-ZBctNYbqId4AaABAg,hD39BIQSbKM,@gusdn0001,내 쓸쓸함은 달라붙지않아,8,2025-07-15 03:06:26+00:00,0
UgxyctYU8zZeNW-cQGx4AaABAg,hD39BIQSbKM,@user-za5dx8re3a,ㅋㅋㅋㅋ😂,2,2025-07-15 03:04:30+00:00,0
UgzBTYyC0htCDiomhth4AaABAg,hD39BIQSbKM,@Limboam,왜 낙타한테 그래요 ㅋㅋㅋㅋㅋㅋㅋ,1,2025-07-15 03:04:03+00:00,0
UgzwlWtJuZlxiAybuyp4AaABAg,hD39BIQSbKM,@BRDMN9999,부러워 죽겠어? 주거라 김그미!!! 아 이게 아닌가,5,2025-07-15 03:03:48+00:00,0
