comment_id,video_id,author,text,like_count,published_at,reply_count
UgyGRrWJ9_KuXB2NAQd4AaABAg,okqWXHH_tO8,@현준카리나,뭐지 이 콘텐츠느,0,2025-09-03 10:50:43+00:00,0
Ugy2kNP_nVDFYeMJEyx4AaABAg,okqWXHH_tO8,@kongking3758,푸린팬이긴한데 금휘가 아깝지...푸린은 게임을 너무 많이해,0,2025-09-03 06:31:42+00:00,0
UgyZYFuufPPfPA_9w_R4AaABAg,okqWXHH_tO8,@No-ru5lp,"그분과 그런사이였음 좋겠다.
넘 안전하신거 아닌가여?
이번생은 힘드신건가?😂",0,2025-08-30 12:20:16+00:00,0
UgxmeICFqhBeAQv7zFR4AaABAg,okqWXHH_tO8,@류류천-y1e,빌드업 상하편 나눠서 야무지개 뽑았네 ㅋㅋㅋㅋㅋㅋㅋ,0,2025-08-29 10:25:48+00:00,0
UgyGIW1kACas9dw_SjN4AaABAg,okqWXHH_tO8,@지루해-s2w,나 여친 어때요,0,2025-08-29 05:17:23+00:00,0
UgyxGwuW9tKp9V1zSw54AaABAg,okqWXHH_tO8,@noname-pu9te,그...선생님은 그런거 안하셔도 됩니다. 여캠도 아닌데 뭘...,0,2025-08-28 00:41:22+00:00,0
UgzgRhhx18PSNuOovFJ4AaABAg,okqWXHH_tO8,@개구리-p3p,진짜 푸금코인 오래우려먹었는데 그래도 제일 조회수 잘나오네 ㅋㅋㅋ 치트키긴하다 ㅋㅋㅋㅋ,0,2025-08-27 13:37:42+00:00,0
UgzeWOjnFMjwfASa6i94AaABAg,okqWXHH_tO8,@inchunsam7345,그 분 누구인가 했네. 이젠 좀 인정하자,0,2025-08-27 08:42:43+00:00,0
UgyHyV4rvE3aJj1_90t4AaABAg,okqWXHH_tO8,@김서광,"이번에는 푸린씨가 아닐줄 알고 들어왔는데
매번 보던 레퍼토리 새로운 남자는 없는건가
푸린씨는 많은데",0,2025-08-27 01:51:42+00:00,0
Ugy3JCDw2csnwJ01Z6N4AaABAg,okqWXHH_tO8,@뜌기,😆😆😆,0,2025-08-26 12:41:41+00:00,0
UgxHViq87BkoeEyRLLJ4AaABAg,okqWXHH_tO8,@googoldglance,푸린님이면 남이 봤을 때 부족한거 없는데,0,2025-08-24 15:37:14+00:00,0
UgyznQTtX8wk8W4dNvl4AaABAg,okqWXHH_tO8,@Xrp천장가자,금휘착한갑네 말문막히는사람특 상처받을까봐팩트로안조짐,0,2025-08-23 21:30:47+00:00,0
UgxYk2--120m7-hNlY14AaABAg,okqWXHH_tO8,@hoopoe5057,넘나 사랑스럽고 귀여운 금휘님 ❤💕,0,2025-08-20 16:09:29+00:00,0
Ugwl7gRTtaA5QdKgzDJ4AaABAg,okqWXHH_tO8,@김밥-z4x,안물안굼,1,2025-08-20 10:56:40+00:00,0
Ugwjw2-h6kKKk2O4Jzp4AaABAg,okqWXHH_tO8,@키186흔남,기회 될 때 가셔야 합니다....금휘님....,0,2025-08-19 07:34:42+00:00,0
