comment_id,video_id,author,text,like_count,published_at,reply_count
UgzFuGd4SWXas2IYECd4AaABAg,swYLjudg8LI,@Kakustige-Edition,왜 있는 걸까나? 하면서 나쁜 생각 잔뜩하는 표정 뭔데 ㅋㅋㅋ,0,2025-09-02 21:16:11+00:00,0
UgxaNtubr6N-cLuIEBF4AaABAg,swYLjudg8LI,@swingduck2212,그룹 야스를 위한 침대냐?,0,2025-09-01 09:57:18+00:00,0
UgyHiPcOzAS6dGiuvQ54AaABAg,swYLjudg8LI,@2401sw,"하룻밤 정돈 자보고 싶다 재미있을거 같다 
그리고 잠들고 일어나면 
잠들어서 엄청 손해본 느낌 날 듯 ㅋㅋ",0,2025-09-01 09:42:05+00:00,0
UgzDRoD07qliAO4goc14AaABAg,swYLjudg8LI,@user-Banggae124,이젠 진짜 이모같다,0,2025-09-01 03:38:20+00:00,0
UgxU6hamDd1hYlIGwdp4AaABAg,swYLjudg8LI,@xodnjs36,여기 1박에 100만원은 거뜬히 넘는 개비싼 호텔이었던걸로 기억하는데,0,2025-08-31 15:45:20+00:00,0
UgzJRU0otch94bTY1fV4AaABAg,swYLjudg8LI,@Egdbj,비싼 호텔이다!,0,2025-08-31 02:50:53+00:00,0
UgwKYpypHPBwzpViOCN4AaABAg,swYLjudg8LI,@honeylee7022,와 저거 전 호실들 빨래 어케하냐…,0,2025-08-30 20:20:53+00:00,0
Ugxhg2uUYv8Ndz3nUax4AaABAg,swYLjudg8LI,@vrc_1449,"리무진 침대 는 처음이지 ㅋㅋㅋㅋㅋ
저런 침대 왜있냐구요 ....********* 을 하는 사람들이자꾸 4명이상오니 저렇게 된거유",0,2025-08-30 18:29:59+00:00,0
Ugx39SPhOmd9Xz4Bpn54AaABAg,swYLjudg8LI,@sr6997,서장훈용 침대네,0,2025-08-30 17:25:55+00:00,0
UgxCEoNCuh0-M7lx3_N4AaABAg,swYLjudg8LI,@스모커헤비-h2v,아니 저렇게 엄청 긴 침대가있다고??,0,2025-08-30 13:13:16+00:00,0
Ugyc9o5HyqkzaCrP9fp4AaABAg,swYLjudg8LI,@ctubeUbal,난교용 ㄷㄷ,0,2025-08-30 11:54:45+00:00,0
UgzxWHc6RFznUTxT1Yp4AaABAg,swYLjudg8LI,@sook1736,평범한 최홍만 베드잖아,0,2025-08-30 09:38:11+00:00,0
Ugx05gHd8yCtfPx3t6t4AaABAg,swYLjudg8LI,@ggaegure,AI인줄 알았...,0,2025-08-30 08:50:06+00:00,0
UgyWbBxAeFanUqtHv3B4AaABAg,swYLjudg8LI,@김민자이-i3i,침대에서 육상 경기 해도 되겠네 ㅋㅋ,0,2025-08-30 08:45:34+00:00,0
Ugxe8mBrvxmI_nwfMSZ4AaABAg,swYLjudg8LI,@goo29goo,닥스훈트집,0,2025-08-30 07:11:05+00:00,0
UgxQz_7_5MJAGe9VhO94AaABAg,swYLjudg8LI,@zw_k,거울인 줄 사기 당할 뻔 했네 ㄷㄷ,2,2025-08-30 06:53:41+00:00,0
UgyXZJvOrpAfCCy8xhN4AaABAg,swYLjudg8LI,@최준혁-x5s,최홍만씨랑 서장훈씨랑 하승진씨가 누워 잘 수 있는 침대다~!,1,2025-08-30 06:08:47+00:00,0
UgxPPZf4DpTeD-uwcSN4AaABAg,swYLjudg8LI,@마귀근육인-m9c,다양하게 즐기라는거지,0,2025-08-30 05:25:43+00:00,0
Ugyd1C1XXgf7XrPHqSF4AaABAg,swYLjudg8LI,@현이-e2i,"저정도면 1대N이 아니라 
집단 갱...",0,2025-08-30 05:05:33+00:00,0
UgyRJXOz2bAVypsjBkJ4AaABAg,swYLjudg8LI,@robeliauri,다 같이 10초 이상은 봐야 알 수 있는 그림이구만 속을 만하네 😂😂😂😂,0,2025-08-30 05:00:37+00:00,0
UgwEFKuVJ9S-07eYY4h4AaABAg,swYLjudg8LI,@STU8720,반대쪽에 침대 머리가 아니라 티비있는거 보고 이상하게 생각했는데 그냥 침대가 긴거였네ㅋㅋㄱㅋㅋ,0,2025-08-30 04:53:06+00:00,0
UgxlUbkTVZlHDNM0USZ4AaABAg,swYLjudg8LI,@minc2448,여러명이서 잘때 좋겠네요,0,2025-08-30 04:31:10+00:00,0
UgwE_T6idQT8mmlvZM94AaABAg,swYLjudg8LI,@jaypark9703,아니 저기 액자가 반사가 안 됐잖아 ㅋㅋㅋㅋㅋㅋㅋ 거울이 아니지,0,2025-08-30 04:03:29+00:00,0
Ugwa4yeezFsDndF8PzR4AaABAg,swYLjudg8LI,@msaicuse,메트리스 어케방에 넣었냐?? 문에 걸릴텐데,0,2025-08-30 03:45:37+00:00,0
UgzfusQLwz4nT3PHZJx4AaABAg,swYLjudg8LI,@언제까지일해야돼,단체로 응? 거시기 하는 건가?,0,2025-08-30 03:36:56+00:00,0
UgzrQnbv5w3WF2b3Z4l4AaABAg,swYLjudg8LI,@Lokspra,두번째 사진에서 거울이 있는데 왜 침대 끝부분이 보였을까... 싶었다 ㅋㅋㅋ,0,2025-08-30 02:40:04+00:00,0
Ugy2FJrxQHRaNsE7j4V4AaABAg,swYLjudg8LI,@Jun-gt3fp,거울이 뭔말이고? 하고 봤네 ㅋ,0,2025-08-30 02:39:55+00:00,0
UgzE0X0drtp8IWZa4Fx4AaABAg,swYLjudg8LI,@부리부리대대대마왕,최홍만 전용 침대,0,2025-08-30 01:55:40+00:00,0
UgxRGkNnDUylmEDZnjh4AaABAg,swYLjudg8LI,@dodoo4293,자건 진짜임,0,2025-08-30 01:17:12+00:00,0
Ugysf1S3ZXje8tplkBp4AaABAg,swYLjudg8LI,@akyangyuga_,와... 데굴데굴 가능한 침대,0,2025-08-30 01:12:21+00:00,0
UgzRsEl-6bshaQoYp4B4AaABAg,swYLjudg8LI,@아름다운날들-f3u,리무진 침대냐 ㅋㅋㅋㅋㅋㅋ,0,2025-08-30 00:37:30+00:00,0
UgzqQPjc_LGHDdPov2h4AaABAg,swYLjudg8LI,@YOUSCP,모르는척하시네 ㅋㅋ,1,2025-08-29 23:05:03+00:00,0
UgxgMgGDFmYEwlGAPVp4AaABAg,swYLjudg8LI,@와이민-z8c,"뭐야 ㅋㅋㅋㅋㅋ 반전이네.
제목 보고 '안속아' 하고 봤는데 속았네 ㅋㅋㅋㅋㅋ",0,2025-08-29 22:52:15+00:00,0
Ugxv4YlfkyZByDyQpSt4AaABAg,swYLjudg8LI,@Master_181,저런 침대가 있는것도 신기하네 ㅋㅋㅋㅋㅋㅋ,0,2025-08-29 22:23:41+00:00,0
UgypGbcwCNVnTrF1UJB4AaABAg,swYLjudg8LI,@Apathy_J,(대충 한 침대에서 다섯명 모두 자고있는 코난 짤),0,2025-08-29 20:15:51+00:00,0
UgzNkcVircayzmNIr3l4AaABAg,swYLjudg8LI,@user-svsfsapj3y,원룸이  아니잖아,0,2025-08-29 17:44:34+00:00,0
UgxKDIERpEbKUPhF_f14AaABAg,swYLjudg8LI,@imafah000le,다주가 길이는 좋은데 폭이 좁다함 ㅋㅋㅋㅋㅋ,0,2025-08-29 16:45:02+00:00,0
Ugy8DqeN2MsDFSJcDpl4AaABAg,swYLjudg8LI,@심민서-c2j,거울 맞지 않음? 거꾸로 달려온거 반사된거 아님? 순수하게 궁금해서,0,2025-08-29 16:37:22+00:00,0
UgyrY3XR4hd-YE6CpAl4AaABAg,swYLjudg8LI,@핑크요다,야오밍 침대 아니가 ㅋㅋㅋㅋㅋ,0,2025-08-29 15:58:48+00:00,0
UgyAqXTN4fhsmHr5PUh4AaABAg,swYLjudg8LI,@alangbanggoo,중요한건 1박이 존나 비싼게 문제지....,0,2025-08-29 15:58:02+00:00,0
Ugyl0TrEXnwPKwNkCc94AaABAg,swYLjudg8LI,@MrKangMinSoo,좀 이상하다 했다. 왼쪽 오른 쪽 창문 갯수가 달라서 뭔가 했다.,0,2025-08-29 15:41:23+00:00,0
UgxFDOgmqTO4b0OF7BB4AaABAg,swYLjudg8LI,@ANGELWOMON,군대 옛 침상 아냐?,0,2025-08-29 15:38:32+00:00,0
UgxLUmOtt1Zo1Rg1iM54AaABAg,swYLjudg8LI,@김석헌-t6g,단체로...,0,2025-08-29 15:34:22+00:00,0
UgxDVJPIXyizST6MdCN4AaABAg,swYLjudg8LI,@taehyoninaeshop,실제로 독고독 도련님께서 다녀오신 영상이 있습니당,1,2025-08-29 14:03:03+00:00,1
Ugxf6Tz7ECYTpGuFjbt4AaABAg,swYLjudg8LI,@비마-h8t,거북이 레이싱 쌉가능,0,2025-08-29 13:59:12+00:00,0
UgzfA-M2J87y0My6JQp4AaABAg,swYLjudg8LI,@rrllff7403,ㅗㅜㅑ 스와핑베드,0,2025-08-29 13:51:26+00:00,0
UgwbsB1NmsP2VEREwLF4AaABAg,swYLjudg8LI,@육지훈,여기있는곳임,0,2025-08-29 13:45:31+00:00,0
UgxDSaPUO5GeZgcywC54AaABAg,swYLjudg8LI,@지원-r7r,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아래쪽에서 끈적하게 놀고 위에서 자는건가보네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,19,2025-08-29 13:17:46+00:00,3
UgwG1fi0iVJwD-mUK7h4AaABAg,swYLjudg8LI,@깜-e8w,여기 사기 당한사람 추가요,0,2025-08-29 13:09:35+00:00,0
UgxPZWJHuOqmFCmG04p4AaABAg,swYLjudg8LI,@김밥_O,이쁘다 그뮈,0,2025-08-29 13:01:34+00:00,0
UgzNM4OuKGskkDQqNPZ4AaABAg,swYLjudg8LI,@노란색파랑,왜 는 둘째 치고 어떻게 넣은건데 조립식이야?,0,2025-08-29 12:48:50+00:00,0
Ugz3NcCfiKdKakc8lxV4AaABAg,swYLjudg8LI,@WooWeck-001,그만큼 많은 사람이 누워있어야 할 필요가 있...??,0,2025-08-29 11:56:12+00:00,0
UgyUT7O17-SlquAz4iV4AaABAg,swYLjudg8LI,@연드,"거울은 아닌거 알앗는데 포샵으로 침대늘린줄,, 거울이라기엔 대칭이 안맞잔슴",0,2025-08-29 11:44:51+00:00,0
UgxIsjClYbuowMqnskN4AaABAg,swYLjudg8LI,@김도토리-i3k,진짜얔ㅋ,1,2025-08-29 10:36:01+00:00,0
UgxPuPyWb4rRSQ7hRQV4AaABAg,swYLjudg8LI,@hosinohe,?? 사기에 사기를 ..?,0,2025-08-29 10:35:55+00:00,0
Ugx3yD9gzBtpYGXXtDZ4AaABAg,swYLjudg8LI,@eezzkik,내것을 드디어 올곧게 세울 수 있는 공간이..,1,2025-08-29 10:35:31+00:00,0
UgzBS3HVGCtpsGNmvVR4AaABAg,swYLjudg8LI,@GaMuLChI19,하렘전용침대ㄷㄷ,1,2025-08-29 10:30:10+00:00,0
Ugxvh6JMbPc4spAx-_14AaABAg,swYLjudg8LI,@jiwoolee4552,리무 룸,0,2025-08-29 10:18:32+00:00,0
UgwuUlH3jaK3nIUhcDN4AaABAg,swYLjudg8LI,@힝헿핳,저기 홍대라고 합니당,0,2025-08-29 10:15:13+00:00,0
UgzdfA_nDVhN2reNhq14AaABAg,swYLjudg8LI,@coo-c,아니 거울로 안보여서 뭐지 싶었네 ㅋㅋㅋㅋ,0,2025-08-29 10:14:47+00:00,0
