comment_id,video_id,author,text,like_count,published_at,reply_count
Ugx1_Rzs2fTRbFHnanp4AaABAg,txMWX6HrtsA,@chef_joon,쟤네들 엄마 위치 파악하고 앉는 방향 잡는 것 같은데ㅋㅋㅋㅋ,1,2025-08-30 16:17:00+00:00,0
UgxvBwDdPJFBRBReCx14AaABAg,txMWX6HrtsA,@Siberian-husky,난 엄마는 아니지만 아기들을 돌볼때 저 뒷태를 본적이 있어서 보자마자 엇 했다 ㅋㅋㅋㅋㅋㅋ,0,2025-08-28 11:36:14+00:00,0
UgzP9Vt8a_6PenDaOiZ4AaABAg,txMWX6HrtsA,@정명수-x2z,애들은 조용할때가  제일 무서움 무슨일을 도모중인거임,0,2025-08-28 08:07:58+00:00,0
Ugws28Y8wKJ-RWXRI894AaABAg,txMWX6HrtsA,@Kthms-p5p1w,미혼 확인,0,2025-08-26 21:55:31+00:00,0
UgwBEZzz87nE92FtTm14AaABAg,txMWX6HrtsA,@솔로-c6c,엄마 아빠가 기겁하게 만든는 자세....😨😱😡,0,2025-08-17 07:23:22+00:00,0
UgwkOS1NQyEOooJ939F4AaABAg,txMWX6HrtsA,@After_the_time_goes_by,건전지 먹음 진짜 클남 조심해야함,0,2025-08-16 22:57:57+00:00,0
UgwIDtpGQORFWwBPxKV4AaABAg,txMWX6HrtsA,@gogovip1004,저땐 바퀴벌레도입에넣고보니 조심해야함,0,2025-08-15 15:42:02+00:00,0
Ugwjja-y1GhIa9EHHXR4AaABAg,txMWX6HrtsA,@wfiwkgh,저 상태로 작거나 작고 동그란거 입에 들어가려하면 진짜 큰일이죠;;,0,2025-08-15 10:18:17+00:00,0
UgwlBCwmEMrLbgUxK3F4AaABAg,txMWX6HrtsA,@youni-papa,"일단 ""안돼!""라고 소리침.",0,2025-08-12 05:45:30+00:00,0
UgwyxHaRfVYUz_GG2kR4AaABAg,txMWX6HrtsA,@박진영-e1t7j,"모르는 사람:야 귀여운 영화각
아는사람:야 호러영화각",0,2025-08-11 03:25:12+00:00,0
UgyCpvJZ0OzdsennyuZ4AaABAg,txMWX6HrtsA,@도담비,난 주식이 레고였다더라,0,2025-08-10 02:54:00+00:00,0
UgwywoTqz1NWDsxnHNp4AaABAg,txMWX6HrtsA,@오영준-u3j,기여워,3,2025-08-09 04:04:59+00:00,0
UgyfWn5j-SiLnwp7oBx4AaABAg,txMWX6HrtsA,@여기저기-x4s,알수없는 무언갈 하고있다 ㅋㅋㅋㅋㅋㅋ,2,2025-08-08 09:39:10+00:00,0
UgyG9_qLvhTQ8WSG2Vt4AaABAg,txMWX6HrtsA,@alistar993,우리 조카 조랭이떡 시절.... 저러고 레고 씹고 있었음... 이빨도 없는게 지 오빠 레고 뾰족한 모서리 씹는다고 입에 피칠갑하고 헤실헤실 웃더라...,0,2025-08-08 05:02:05+00:00,0
UgxLbSy-w9FwnrleC_Z4AaABAg,txMWX6HrtsA,@김태훈-i6k,마지막은 인형 아닌가,0,2025-08-08 01:45:00+00:00,0
UgzVXkoimQ-9MHb3j1J4AaABAg,txMWX6HrtsA,@SUMTAL2023,아기들 사고치는 자세,0,2025-08-07 19:12:11+00:00,0
Ugzh2jDBG9sS5vTz-zx4AaABAg,txMWX6HrtsA,@초설-t5f,애기는 누워잘때가 젤 이쁨.,0,2025-08-07 09:07:08+00:00,0
UgznozkybQAQOvjtYgp4AaABAg,txMWX6HrtsA,@한세고운,조용하면 가봐야되,0,2025-08-07 02:31:40+00:00,0
Ugw5-v4j1g9prPvwKrR4AaABAg,txMWX6HrtsA,@구운약관,고양이의 동공 커진 눈 처럼 경험 있는 사람은 아는 위험한 상황,0,2025-08-07 02:20:04+00:00,0
Ugw6cnG1fqoyhP5DCd14AaABAg,txMWX6HrtsA,@dkEodEod,사고 치는중인데 귀여움으로 무마하려는 뒷모습..,0,2025-08-06 23:35:40+00:00,0
Ugx6Xh8AlHbKz5hTBIh4AaABAg,txMWX6HrtsA,@NSWER_H,저지레하기 직전임,0,2025-08-06 15:24:41+00:00,0
Ugx4F4UvWYZiLex9qxt4AaABAg,txMWX6HrtsA,@moontee3516,"내동생 갓난아기 시절 저러고 있으면
레고 입에 넣고 있었는데",0,2025-08-06 14:23:16+00:00,0
Ugwm7KUVKdl35W2Aw5J4AaABAg,txMWX6HrtsA,@SPAM-uk1vf,그런데 왜 안달려가고 사진 찍고 있는거죠?,0,2025-08-06 11:01:31+00:00,0
UgzyP3wMmdKYmQC2MKl4AaABAg,txMWX6HrtsA,@halhalgalgal,뽀구미보면 귀여움 치사량 한도 초과해서 금휘 기절하겠구만,0,2025-08-06 07:14:48+00:00,0
UgxGG3CkC5mgbiOHLqx4AaABAg,txMWX6HrtsA,@여름-m3x,꼬꾸라져요.,0,2025-08-06 06:22:27+00:00,0
UgwVeDFCJkl3HjJxBuh4AaABAg,txMWX6HrtsA,@씹프피헬창,애기들도 눈과 코와 귀로 인지는 하지만 가장 많이 쓰는 게 촉각이고 대부분 사물의 정보들을 만지고 입안에 물면서 인식함...그러다 보면 위험한 걸 삼킬수도 있는 거고....그래서 애기들 주변에 다치거나 삼킬만한 게 있으면 다치우는 게 좋고 치웠다고 하더라도 안심하면 안됨...,3,2025-08-06 06:12:41+00:00,0
UgxOJthB72rxzKg73nh4AaABAg,txMWX6HrtsA,@alltv9616,제목 보자말자 바로 이해버렸다..,0,2025-08-06 06:09:10+00:00,0
Ugw-L_t3njGmS-2gu_N4AaABAg,txMWX6HrtsA,@sook1736,마지막은 인직이 아님?,0,2025-08-06 06:07:39+00:00,0
UgzOUmVMoyo8VFXRwB54AaABAg,txMWX6HrtsA,@아이묭랑해,"금휘 애기들 엄청 좋아하는거보니
결혼할때가 된것 같다.
좋은 엄마가 될것 같다😊",9,2025-08-06 05:53:31+00:00,0
UgxJEtJbN-uR9a9U4Lp4AaABAg,txMWX6HrtsA,@hek-j9r,마지막 아기는 인형 아님? 머리카락이 붙었는데?ㅋㅋㅋ 뭐지..,0,2025-08-06 05:47:58+00:00,0
UgzXqfI-pqig32DtCgh4AaABAg,txMWX6HrtsA,@체크메이트-u5j,세번째 애기는 딱 면벽수행 자세인데?,0,2025-08-06 05:46:29+00:00,0
Ugw7LNxrDMXONgnxlUF4AaABAg,txMWX6HrtsA,@슈슈-x9m,맞아요...일단 조용하면 뭔가 쎄함ㅋㅋㅋㅋ,5,2025-08-06 05:35:00+00:00,0
Ugzp6cJhh9J1w42qQyd4AaABAg,txMWX6HrtsA,@hahoo9664,저도 목 접혀잇는데 귀여워해주시나요,0,2025-08-06 02:53:40+00:00,0
UgyVouBsjc8wEpgjWPN4AaABAg,txMWX6HrtsA,@거울치료_furry,"손님, 주문하신 레고온더락 나왔습니다.",0,2025-08-06 02:00:04+00:00,0
UgyPZXZTuIrzcmO4Odd4AaABAg,txMWX6HrtsA,@최승용-j5u,뭔가 저지른 자세,0,2025-08-05 20:06:17+00:00,0
Ugwu1cmHdAf0Qi6PPDZ4AaABAg,txMWX6HrtsA,@읔,옆에 강아지 패드 있으면 식겁하는데,0,2025-08-05 19:16:18+00:00,0
UgwagMqO4T0MC3UymSt4AaABAg,txMWX6HrtsA,@snowman_pia,금휘님 어머님 소환하고싶어서 등돌리고 방송하는거구낭...,0,2025-08-05 18:18:01+00:00,0
UgxK7XWxnNYNePQbDZh4AaABAg,txMWX6HrtsA,@ive1.,"나도 저런 귀여울때가 있었눈데....
지금도 귀엽긴 함 데헷^×^",0,2025-08-05 17:51:10+00:00,0
UgxJ4WhsYUpKF2KcNC94AaABAg,txMWX6HrtsA,@푸른나르,조용할때가 제일 싸함,0,2025-08-05 17:42:03+00:00,0
UgzExuTtnqedlpaVuzh4AaABAg,txMWX6HrtsA,@비공개-c5f-i7r,누나가 더 귀여워,0,2025-08-05 16:23:46+00:00,0
Ugy-iQGcQcNXT__-RJ54AaABAg,txMWX6HrtsA,@용갱마,막짤 인형임,0,2025-08-05 15:11:31+00:00,0
UgzskFtDdgjhhuhE_9p4AaABAg,txMWX6HrtsA,@Jdjwjjqj-k7u,"뭘먹고있는지 달려가는거도 맞는데
목에 힘이없어서 머리 쿵 부딛칠까봐도 달려갑니다 ㅠ
애기도 없는데 난 왜 잘알지..?",0,2025-08-05 15:08:35+00:00,0
UgzMJ3_FwtYADZ0itoV4AaABAg,txMWX6HrtsA,@framebird111,조심 ....뒤로 넘어가기도하는 자세이기도 합니다.,0,2025-08-05 14:44:51+00:00,0
UgzMhWCs18G2OfVqH1V4AaABAg,txMWX6HrtsA,@user-rv5up2wr3i,살구치기 조아하는 아들이라구? 너가취?,0,2025-08-05 14:32:37+00:00,0
Ugwq9IQa3dymefvKzKp4AaABAg,txMWX6HrtsA,@dyeing-asd,저러고 야!! 하면 움찔하고 놀람 ㅋㅋ 소리 지르지 않고 그래도,22,2025-08-05 12:50:50+00:00,1
UgygbQrHEyH1PIzvZZ94AaABAg,txMWX6HrtsA,@9-2-4-9,개고 아이고.. 조용히 있으면... 의심부터 해봐야함.,1,2025-08-05 11:58:41+00:00,0
