comment_id,video_id,author,text,like_count,published_at,reply_count
UgwMM0MjIRyi-g4BYiJ4AaABAg,zm-jIsEohsk,@uanga1763,빨래말래빨래말래,1,2025-08-31 14:06:25+00:00,0
UgwitO-3KoU6efbkNB14AaABAg,zm-jIsEohsk,@송윤-i8w,"진심 왤캐 웃기냐 ㅋㅋㅋㅋ 시월모바일 쿠폰팩=무제한 22,000원대+매달 5천원 포인트(네페·카페·편의점·다이소)=총 12만원 혜택 실화냐🔥",1104,2025-08-29 13:31:43+00:00,0
UgxRt14tCdmBD6sZbMh4AaABAg,zm-jIsEohsk,@Light_mo_ma,이거 어디에 무슨게임임? 라겜 2만판임,0,2025-08-29 10:15:45+00:00,0
UgyV-7Zo0vYzrxQmR394AaABAg,zm-jIsEohsk,@고양이가좋아-u2u,이게임은 여까가… 소름이지…,0,2025-08-29 06:10:11+00:00,0
UgxM7srMNG7GkWlLfhN4AaABAg,zm-jIsEohsk,@plka_sedan,"좀야하다가 아니라
개야함이라고 적었으면 안걸렸을듯??;;",0,2025-08-29 03:44:32+00:00,0
UgxwinxeX11QDWyh3Bh4AaABAg,zm-jIsEohsk,@진하324,빨래? 😂😂😂,0,2025-08-28 16:22:57+00:00,0
UgxP_wX9Bm-cux35sM54AaABAg,zm-jIsEohsk,@djzjsnzja,주인장 안해본척 하지마!,1,2025-08-27 14:12:23+00:00,0
UgyDq7chdYbqKVsLOoB4AaABAg,zm-jIsEohsk,@다함께쿠차차,무슨게임임?,0,2025-08-27 10:32:53+00:00,0
UgxEg-v_7u2q0POZNox4AaABAg,zm-jIsEohsk,@남자라면버즈,와 실화냐😅 한 수 배워갑니다😮,0,2025-08-26 15:19:44+00:00,0
UgywijbPk09bWWrpGf14AaABAg,zm-jIsEohsk,@망고입미다,꼴린다 ㄹㅇ,0,2025-08-26 06:49:25+00:00,0
UgyaAB8vBxfE-Vs1deF4AaABAg,zm-jIsEohsk,@MusicHY96,빨래를 받아들이는 보법이 다르네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2025-08-26 04:44:06+00:00,0
UgztjyUxtDvycK1B4fV4AaABAg,zm-jIsEohsk,@트로,나도 빨래,1,2025-08-24 12:06:38+00:00,0
UgySaRm_IEBoZ3mG3JV4AaABAg,zm-jIsEohsk,@ksm4304,텐가요? ㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-08-24 11:19:09+00:00,0
UgzRo28Udz1-YTZOMMx4AaABAg,zm-jIsEohsk,@두한김-s8f,근데 빨래를 왜 성인들만 쓴다는거야 ㅋㅋㅋㅋㅋ,0,2025-08-21 13:19:50+00:00,0
UgznFUj89_s5PDfmz-t4AaABAg,zm-jIsEohsk,@Giotto2645,와 보법이 다르다,0,2025-08-15 04:10:52+00:00,0
Ugy9YFoRLqwfCQwpZil4AaABAg,zm-jIsEohsk,@제리쿨,(이거) 빨래? 를 그 짧은 틈에 연상하다니,0,2025-08-13 15:48:58+00:00,0
UgwXablFnEiTQ3nYMcR4AaABAg,zm-jIsEohsk,@Kuneu,고오급 해석.,0,2025-08-13 02:03:01+00:00,0
UgwTECcxwj6kU7jbs4B4AaABAg,zm-jIsEohsk,@An_yu_jin,"그러면 야하다해도 맞는거잖아 
왜 라이어 지목을 한거야",0,2025-08-12 19:22:47+00:00,0
UgyiTA0zg9i5nEuYC2Z4AaABAg,zm-jIsEohsk,@천조누설,뭔소리는지 하나도 모르겠네.,0,2025-08-12 17:19:17+00:00,0
UgyS7Xbq2QsUne1R3RR4AaABAg,zm-jIsEohsk,@k719_10ne_wia,바로 이해 못했다 다행히도 아직 그정도로 뇌가 썩지는 않은 모양이다,0,2025-08-12 12:58:08+00:00,0
Ugzmfnez6kl-6ry4hFV4AaABAg,zm-jIsEohsk,@K-INTP,"*_""사람 아냐.....""_*",0,2025-08-12 05:02:30+00:00,0
UgyxPjYNGbwEe1sr3S14AaABAg,zm-jIsEohsk,@기모찌킬러,콧구멍에 싸고싶다,1,2025-08-12 03:19:25+00:00,0
UgxrBpe1Uj30X8GAz-14AaABAg,zm-jIsEohsk,@N0CUT,내 빨래 내꺼 빨래,0,2025-08-12 01:30:21+00:00,0
UgyR5HGwt5GYF1GawBB4AaABAg,zm-jIsEohsk,@Junwoo76,수위조절이ㅎㅎ... 후덜덜하네,0,2025-08-10 11:34:10+00:00,0
Ugx3SmH3q5G1yME1fQl4AaABAg,zm-jIsEohsk,@used-load,영화 하녀를 보면 왜인지 알수있음,0,2025-08-02 19:06:52+00:00,0
Ugy24_iLeyflb-th4ZF4AaABAg,zm-jIsEohsk,@B82JJ,실프 라이어게임 고수였네,0,2025-07-25 22:24:07+00:00,0
Ugxy33DATZSiWCV-MP94AaABAg,zm-jIsEohsk,@행복-i1g,금휘 좀 꼴린다,3,2025-07-21 11:02:14+00:00,0
UgyqWEU74xmf71rtT254AaABAg,zm-jIsEohsk,@사랑s,빨래?,0,2025-07-21 04:32:37+00:00,0
UgzHi2Q-gOm8hJpN7pp4AaABAg,zm-jIsEohsk,@2019시작이좋아,풀버전 없나요,0,2025-07-20 13:34:24+00:00,0
UgwyLFl-ZGP784rd6bh4AaABAg,zm-jIsEohsk,@헤캣,"머릿속에 음란마귀가 있어 ㅋㅋㅋㅋㅋㅋㅋ
정신세계 마음에 든다 ㅎㅎㅎㅎㅎ",1,2025-07-20 03:59:57+00:00,0
