video_id,published_at,title,description,label_rule
b4to2uPAgAI,2025-09-03 03:03:00+00:00,너무 화난다,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",감정/반응
PO6qCbM_5vk,2025-09-02 03:03:00+00:00,서비스직 종사자로서 매우 공감합니다,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
zrr8SI0Yc0Y,2025-09-01 03:03:00+00:00,따님보다 신나셨네..,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",밈/유머
7CsX4WJcUAA,2025-08-31 03:03:00+00:00,어머님 백번 이해합니다..,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",밈/유머
Cs_3BgTpKQc,2025-08-30 03:03:00+00:00,나한테 제일 잘 어울리는 머리는?,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!

방송일자 : 2025. 3. 16


#테무 #가발 #테무깡",밈/유머
swYLjudg8LI,2025-08-29 03:03:00+00:00,원룸 사기 말안된다,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
Bj-P9k2RLnE,2025-08-28 03:03:01+00:00,논란의 냉면집,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
c9acJQbSGqY,2025-08-27 03:03:00+00:00,사장님한테 왜그래,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
3vjCNWCAUys,2025-08-26 03:03:00+00:00,전여친 리즈 시절,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
ihiU3DkvbDI,2025-08-25 03:03:00+00:00,너무 무서워,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",감정/반응
QuR5Dwrkbrg,2025-08-24 08:54:08+00:00,얘들아 난 테토녀야 에겐녀야..?,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!

방송일자 : 2025. 6. 22


#연애 #테토 #에겐",밈/유머
yniYE8yA9TQ,2025-08-23 03:03:00+00:00,아무래도 약속은 신중히 해야..,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
erwP1zg_pEs,2025-08-22 03:03:00+00:00,세상일 쉽지 않네..,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",밈/유머
